X1	DC1MINUS	DC2MINUES	DC2PLUS	DC4MINUS	DC4PLUS	MischiefMinus	MischiefPlus	X2654MINUS	X2654PLUS
FAM83C	6	5	4	5	6	108	103	0	9
EIF6	1210	1247	1036	1492	1853	166	140	822	885
LOC109498025	160	159	179	197	236	35	42	148	206
MMP24	20	19	15	21	16	124	191	20	32
EDEM2	767	927	858	813	1038	133	185	978	1124
PROCR	151	149	177	163	209	66	62	171	206
TRPC4AP	2779	3308	2705	3217	3903	289	213	2619	2969
MYH7B	58	43	45	44	39	307	314	35	27
LOC105260418	977	1978	1574	928	1206	282	191	1316	1656
GSS	1166	1589	1365	1293	1613	173	195	1167	1192
ACSS2	2021	2253	2064	2707	3583	386	334	2412	2669
GGT7	1000	683	601	938	1277	133	184	754	630
NCOA6	158	128	86	168	209	513	454	104	98
TP53INP2	197	180	155	245	321	225	264	246	267
PIGU	211	223	194	262	356	156	178	140	192
MAP1LC3A	913	941	819	1279	1450	16	13	877	1161
DYNLRB1	2462	2569	2202	3180	3736	265	159	1950	2380
ITCH	3632	4188	3343	4756	6317	307	262	2576	3204
LOC109498561	0	0	0	1	0	10	11	0	1
LOC111559930	0	0	0	0	0	11	13	0	0
AHCY	803	994	877	1067	1528	191	144	605	738
ASIP	3	26	20	1	0	47	61	0	0
LOC111560009	0	0	0	0	0	3	0	0	0
LOC111559699	0	2	0	0	0	16	33	0	0
EIF2S2	6183	6105	4752	7661	10017	495	359	3767	4814
RALY	1067	1180	936	1939	2386	504	415	754	857
LOC111559778	2	0	0	4	1	59	100	0	0
CHMP4B	2433	2861	2466	3093	4019	371	226	1921	2346
ZNF341	215	166	153	230	263	193	191	155	140
PXMP4	280	269	231	348	468	162	178	238	265
LOC111559916	1	0	0	0	0	4	1	0	1
E2F1	25	8	4	29	30	77	59	10	14
NECAB3	71	101	105	75	82	85	79	53	64
ACTL10	6	7	5	10	9	41	68	9	14
CA3H20orf144	3	4	0	5	2	13	13	3	0
CBFA2T2	492	572	497	529	742	240	310	262	280
SNTA1	882	1218	1014	1302	1505	90	145	1152	1203
CDK5RAP1	356	358	297	391	536	135	143	201	305
LOC111559968	1	0	0	0	0	5	5	0	1
LOC105260421	5	5	1	8	1	136	217	5	2
LOC101099199	0	0	3	0	0	112	105	2	3
BPIFB1	0	0	1	1	0	178	215	0	0
BPIFA1	0	0	0	0	0	119	95	0	0
BPIFA3	0	0	0	0	0	28	29	0	0
LOC111559779	0	3	1	3	0	75	87	0	0
LOC100652387	0	0	0	0	1	22	16	0	0
BPIFA2	0	1	0	1	0	54	85	0	0
LOC111559700	0	0	0	0	0	17	25	0	0
BPIFB4	0	0	0	1	3	142	148	2	0
BPIFB3	1	0	0	0	0	93	107	0	1
BPIFB6	0	0	1	0	0	68	75	1	0
BPIFB2	0	0	0	0	0	95	102	0	0
SUN5	0	0	0	0	0	76	79	0	0
EFCAB8	436	524	416	704	918	237	237	265	382
MAPRE1	2526	3162	2562	4169	5831	297	238	1944	2423
DNMT3B	40	44	49	92	101	240	255	20	31
COMMD7	123	183	146	258	309	100	72	112	139
LOC109498496	0	0	0	0	0	35	39	0	0
NOL4L	89	53	56	98	102	230	212	18	25
LOC109498035	8	5	3	4	5	39	28	0	4
ASXL1	324	392	340	400	506	909	699	223	276
KIF3B	2208	3386	2765	2886	4028	596	563	2095	2480
POFUT1	1311	2055	1796	1198	1674	219	226	1796	1913
PLAGL2	116	170	140	173	197	262	270	54	56
LOC111559887	7	17	22	17	23	9	12	6	1
TM9SF4	2645	2824	2473	2761	3432	237	276	1912	2150
LOC109498036	0	0	0	0	1	28	36	0	0
HCK	4	21	15	7	3	76	80	8	8
CCM2L	12	28	26	10	20	80	97	7	12
XKR7	0	2	0	0	0	142	202	0	0
PDRG1	545	701	696	678	874	95	77	667	697
TTLL9	4	5	0	3	3	135	147	1	3
TRNAK-CUU_11	0	0	0	1	0	1	3	0	0
DUSP15	2	7	4	0	0	19	21	3	1
LOC101080774	2	1	2	2	2	55	64	0	0
FOXS1	829	641	601	105	96	72	60	8	12
MYLK2	3	7	0	2	4	102	150	0	0
TPX2	203	100	81	172	246	595	414	164	142
BCL2L1	326	415	348	302	368	234	207	274	267
LOC109498037	8	2	5	4	5	47	67	2	4
LOC101096643	78	31	40	68	89	62	84	73	117
ID1	1686	1635	1262	729	787	37	42	813	1085
LOC105260422	217	235	169	234	269	159	150	157	213
HM13	2607	2758	2424	2901	3456	182	157	2425	3061
REM1	1	4	3	1	1	40	54	0	0
DEFB124	0	0	0	0	0	28	25	0	0
DEFB123	0	0	0	0	0	7	19	0	0
LOC101087728	0	0	0	0	0	9	16	0	0
DEFB121	1	0	0	0	0	34	62	0	0
LOC101081718	0	0	0	0	0	37	55	0	0
LOC109498512	0	0	0	0	0	7	6	0	0
DEFB116	0	0	0	0	0	75	71	0	0
LOC109498039	0	0	0	0	0	21	26	0	0
LOC111559915	0	0	0	0	0	0	1	0	0
DEFB125	0	0	0	0	0	29	32	0	0
DEFB127	0	0	0	0	0	10	14	0	0
DEFB128	0	0	0	0	0	32	52	0	0
DEFB129	0	0	0	0	0	46	72	0	0
DEFB132	0	0	0	0	0	38	45	0	0
CA3H20orf96	23	9	8	27	23	72	105	11	26
ZCCHC3	265	337	284	379	453	112	123	120	142
LOC109498041	4	3	1	6	5	37	22	3	1
SOX12	74	76	78	198	231	138	140	46	51
NRSN2	0	0	0	0	2	37	42	0	0
LOC109498042	0	0	0	0	0	19	24	0	0
TRIB3	2101	2015	1883	2640	2810	73	65	888	1081
RBCK1	1152	1447	1311	1468	1675	95	71	1066	1252
TBC1D20	3291	2953	2891	3910	4361	140	151	2091	2425
LOC102902209	72	50	44	69	82	41	37	27	53
CSNK2A1	3085	3040	2556	3802	4716	323	224	2294	2742
TCF15	2	2	5	7	7	22	19	1	2
LOC111559942	0	0	0	0	0	30	17	0	0
SRXN1	2165	1553	1331	2310	2916	42	32	1180	1548
LOC111559782	31	28	22	32	53	62	63	19	22
SCRT2	4	1	2	2	6	51	62	0	0
SLC52A3	2	3	2	3	2	47	55	2	2
FAM110A	37	53	54	81	100	98	85	31	30
ANGPT4	60	193	156	62	53	245	244	60	75
RSPO4	0	0	1	0	0	68	52	0	0
LOC109498563	0	0	1	0	0	5	4	0	0
LOC109498564	0	0	0	0	0	16	16	0	0
LOC109498565	0	0	0	0	0	19	16	0	0
PSMF1	890	1131	984	1315	1482	105	116	862	977
LOC109498043	0	0	0	4	6	37	47	1	0
TMEM74B	0	1	0	3	2	29	40	1	1
CA3H20orf202	0	0	0	0	0	43	51	0	0
RAD21L1	3	8	2	10	5	55	100	4	11
LOC109498044	0	0	0	0	0	4	2	0	0
SNPH	610	804	697	640	796	113	105	436	636
SDCBP2	39	20	21	20	37	70	69	14	18
LOC111559783	2	5	5	2	2	43	64	3	2
TRNAK-CUU_12	0	0	1	0	0	28	33	0	0
FKBP1A	1866	1822	1574	2837	4158	141	99	2038	2419
LOC102902056	38	3	4	2	4	28	25	4	14
LOC111559784	1	1	0	4	6	0	5	4	0
NSFL1C	1004	972	930	1188	1376	213	181	674	807
SIRPB2	0	0	0	0	0	45	30	0	0
LOC111559785	0	1	0	0	0	21	24	0	0
LOC101086051	0	0	0	0	0	40	48	0	0
LOC101085793	0	1	0	0	1	14	19	0	1
LOC109498048	0	0	0	0	0	40	38	0	0
LOC105259814	0	0	0	2	0	25	22	0	3
LOC109496772	1	0	0	0	0	94	122	0	0
LOC109498046	58	74	88	53	68	54	64	69	77
LOC109498497	1	0	0	0	0	19	12	0	1
LOC101085539	1	0	1	1	0	142	150	0	0
LOC101085033	0	0	0	0	1	105	96	0	0
LOC109498049	0	0	0	0	0	20	19	0	0
LOC109498051	0	0	0	0	0	10	11	0	0
LOC109498050	1	0	0	0	0	32	36	0	0
LOC109498052	0	0	0	0	0	8	7	0	0
SIRPA	1702	2639	2263	1902	2339	159	172	2003	2120
PDYN	0	0	0	1	1	72	91	0	0
LOC109498053	0	1	0	0	3	28	30	2	0
STK35	121	137	138	167	166	132	140	96	91
TGM3	1	11	7	30	24	76	98	0	1
TGM6	1	0	1	1	1	149	178	0	3
SNRPB	1608	1804	1568	2087	2306	216	140	1243	1339
LOC105260424	0	1	0	0	1	22	43	1	0
LOC102901908	1	2	0	1	1	21	16	0	1
TMC2	0	0	0	0	0	180	209	0	0
NOP56	960	1427	1139	1642	2039	398	199	616	657
LOC111559983	14	5	4	11	8	6	5	1	4
LOC111559973	3	2	8	6	9	11	2	1	0
LOC111559981	12	7	4	15	27	0	4	7	14
LOC111559959	5	4	2	7	7	58	7	1	2
LOC111559958	3	6	1	3	4	7	6	1	0
IDH3B	1021	1063	926	1165	1318	174	156	695	787
LOC109498056	0	0	0	0	0	60	65	2	2
LOC111559701	0	0	0	0	0	6	15	0	0
LOC109498057	0	1	3	1	0	53	80	0	3
EBF4	156	171	152	134	164	45	57	145	173
CPXM1	398	855	772	162	242	91	92	496	505
LOC109498059	0	0	0	0	0	8	11	0	0
CA3H20orf141	0	0	0	0	0	3	3	3	2
TMEM239	0	0	1	0	0	11	9	0	0
PCED1A	400	406	473	488	512	63	61	316	421
VPS16	1369	1596	1515	1341	1557	345	286	948	1012
PTPRA	2771	2967	2550	3169	4116	345	383	2003	2359
LOC109498061	6	1	1	4	2	18	34	2	1
GNRH2	9	5	0	13	11	94	113	2	3
MRPS26	465	557	507	653	722	54	55	394	498
OXT	0	0	0	0	0	4	5	0	0
AVP	0	0	0	0	0	24	27	0	0
UBOX5	246	233	247	306	371	99	61	207	200
FASTKD5	447	607	516	503	618	57	103	415	545
LZTS3	659	639	604	802	953	84	111	577	690
LOC102900957	1	1	1	1	2	15	14	4	3
DDRGK1	1223	1232	1036	1120	1514	275	253	865	898
ITPA	1099	1298	1094	1130	1372	127	90	928	975
SLC4A11	30	11	5	26	12	149	114	10	17
CA3H20orf194	690	756	667	841	1005	350	359	1371	1712
LOC109498062	4	3	0	2	1	4	10	4	5
LOC109498063	4	0	3	3	2	31	30	1	4
LOC111559786	5	7	5	8	18	117	100	3	7
ATRN	1649	2051	1704	1668	1896	339	418	1040	1246
GFRA4	1	0	0	0	0	29	15	0	0
ADAM33	329	488	422	243	260	158	179	2666	3179
SIGLEC1	1	0	0	0	0	160	194	6	7
LOC111559987	0	0	0	0	0	6	5	0	0
HSPA12B	5	1	0	3	5	85	61	1	0
CA3H20orf27	294	309	264	353	475	14	34	191	181
SPEF1	12	11	4	10	19	122	124	6	7
CENPB	1488	1650	1558	1913	2195	147	126	1302	1600
CDC25B	95	70	42	99	126	623	518	48	86
AP5S1	181	201	223	234	291	82	82	152	171
MAVS	1416	1683	1488	1623	1762	223	207	1209	1363
LOC109498514	35	27	28	40	49	53	28	12	39
LOC101092510	342	376	252	378	530	124	85	254	335
RNF24	252	299	237	448	647	112	116	137	167
LOC109498568	7	1	2	4	1	16	39	3	3
SMOX	326	262	241	463	577	175	219	147	132
ADRA1D	24	217	186	36	31	50	49	47	73
LOC109498065	0	0	0	1	0	46	57	0	2
LOC109498067	0	2	0	0	0	24	25	0	0
LOC109498068	0	0	0	0	1	47	57	0	0
PRNP	6412	6645	5858	5066	6677	66	85	9674	12054
PRND	0	0	0	2	0	33	51	9	1
RASSF2	301	112	92	63	75	391	331	1145	1193
SLC23A2	786	967	880	985	1379	382	385	1213	1521
LOC109498071	0	0	0	1	0	30	40	0	0
LOC109498070	0	0	0	0	0	25	39	0	1
TMEM230	1612	1319	1112	2035	2585	123	89	1042	1362
PCNA	631	439	372	450	769	459	251	351	459
LOC109498072	0	0	0	0	1	17	24	1	2
CDS2	1238	1810	1505	1351	1692	335	288	1828	2163
PROKR2	9	3	2	4	7	40	39	0	0
GPCPD1	1390	1696	1449	1925	2561	169	144	726	942
LOC109498074	0	1	0	1	7	11	33	0	0
CA3H20orf196	42	41	29	45	54	325	436	23	19
CHGB	9	7	6	9	23	335	278	5	6
TRMT6	606	531	435	619	883	194	141	257	333
MCM8	118	159	123	135	205	92	105	102	91
CRLS1	500	561	507	519	704	44	37	318	422
LRRN4	1	1	2	3	1	83	72	3	0
FERMT1	0	0	0	0	1	115	111	0	0
BMP2	82	58	47	93	112	22	23	24	27
LOC109498570	0	0	0	0	0	6	4	0	0
LOC109498078	0	1	0	0	0	9	13	0	0
HAO1	0	0	0	0	1	88	84	1	0
LOC109498573	0	0	0	0	0	7	19	0	0
TMX4	1220	1321	1031	1613	2132	117	98	908	1104
PLCB1	447	1189	923	1276	1691	206	241	701	851
LOC109498079	0	1	7	4	7	125	129	3	0
LOC111559955	1	0	0	0	0	12	14	0	0
PLCB4	135	98	78	266	394	197	311	108	144
LOC111559787	0	0	0	0	0	59	85	0	0
LAMP5	0	0	0	0	0	63	91	0	0
PAK5	1	0	0	3	1	134	150	0	0
LOC109491359	0	0	1	0	0	51	47	0	0
ANKEF1	0	0	0	0	0	68	81	1	0
LOC102900958	0	0	0	0	0	19	17	0	3
LOC111559790	0	0	1	1	0	15	16	0	1
LOC109498080	0	0	0	0	1	21	26	0	0
SNAP25	7	2	0	4	9	82	121	2	2
LOC111559789	0	0	0	1	0	118	117	2	0
LOC111559788	0	0	0	1	1	11	22	0	0
TRNAK-CUU_13	0	0	0	0	0	3	13	0	0
LOC111559791	4	0	0	3	1	14	20	0	0
LOC109498085	0	0	0	0	4	36	31	0	0
LOC109498082	16	23	15	27	37	43	36	15	25
MKKS	1508	1805	1404	1503	2030	89	95	939	1193
SLX4IP	49	49	54	65	74	65	121	44	65
JAG1	4801	7350	6149	9632	12246	211	254	3318	3336
LOC111559792	0	0	0	0	0	2	10	0	0
LOC109498087	0	0	0	0	2	12	19	0	0
LOC111559703	0	0	0	0	0	7	13	2	0
LOC109498084	2	0	0	0	0	47	61	0	0
BTBD3	286	274	223	298	400	75	94	156	164
LOC111559793	0	0	0	0	0	44	37	0	0
SPTLC3	179	190	142	358	484	103	189	272	312
LOC109498575	0	0	0	0	0	22	33	0	0
ISM1	5	8	2	5	11	85	82	26	30
TASP1	292	347	283	293	345	145	138	197	239
ESF1	853	951	732	909	1059	203	179	599	759
NDUFAF5	380	489	430	444	578	57	65	391	463
SEL1L2	0	0	1	0	0	126	108	0	2
MACROD2	8	12	12	6	0	74	105	3	6
FLRT3	25	12	5	25	21	82	92	11	9
LOC111559795	0	1	0	1	0	22	10	0	0
LOC109498576	0	0	0	1	0	26	48	0	0
KIF16B	303	518	363	457	551	271	335	347	393
SNRPB2	797	759	682	927	1373	119	57	622	693
OTOR	0	0	0	0	2	43	60	0	0
LOC109498091	0	0	0	0	0	22	14	0	0
PCSK2	1	1	0	0	0	131	158	0	1
LOC109498092	0	0	0	0	0	7	9	0	0
BFSP1	194	218	201	226	247	158	209	87	113
DSTN	38376	40400	31430	43624	56026	82	66	34306	42368
RRBP1	13770	13341	11166	16527	18285	267	258	6822	8259
BANF2	0	0	0	1	0	22	31	0	0
LOC109498577	2	2	4	10	15	4	13	3	0
LOC109498578	0	0	0	0	0	43	45	0	0
SNX5	1269	1626	1249	1524	2075	319	233	869	1139
LOC111559976	1317	1624	1203	1913	2260	111	59	612	660
MGME1	122	169	115	171	234	71	57	92	98
OVOL2	3	9	3	6	1	74	61	0	0
PET117	118	164	133	184	241	63	45	101	128
KAT14	545	736	613	774	936	144	168	439	459
ZNF133	222	201	177	298	349	114	133	134	147
DZANK1	113	172	121	126	142	111	165	96	112
POLR3F	307	404	268	423	481	56	101	254	332
RBBP9	1209	1772	1450	1351	1788	89	60	1061	1248
SEC23B	1149	1525	1251	1674	2124	291	229	1047	1313
LOC111559796	172	225	205	230	360	12	5	132	124
DTD1	400	517	478	422	626	65	102	247	247
SCP2D1	0	0	0	0	0	12	17	0	0
SLC24A3	956	2926	2339	973	1130	136	195	2698	3323
LOC109498094	0	1	2	0	0	8	17	2	0
RIN2	855	1344	1109	835	1080	152	202	1128	1357
NAA20	853	856	701	841	1128	56	52	624	746
CRNKL1	1369	1417	1111	1513	2133	349	289	923	1042
CFAP61	12	15	7	8	19	251	307	6	5
LOC109498095	0	0	0	0	0	12	15	0	0
INSM1	0	0	1	0	0	38	65	0	0
RALGAPA2	90	181	116	170	205	493	468	89	91
LOC111559919	0	0	0	0	0	1	1	0	0
LOC111559797	0	0	0	0	0	16	17	0	0
KIZ	198	211	171	204	274	87	123	202	196
XRN2	2476	2793	2210	2983	3843	320	243	1549	2022
NKX2-4	0	0	0	0	0	1	1	0	0
NKX2-2	1	0	0	1	0	36	61	0	0
LOC109498096	0	0	0	0	0	32	55	0	0
PAX1	0	0	2	0	0	113	118	0	0
LOC109498581	0	0	0	0	0	2	7	0	0
LOC109498582	0	0	0	0	0	7	4	0	0
TRNAS-GCU	0	0	0	0	0	2	2	0	0
LOC111559705	0	0	0	0	0	10	9	0	0
LOC109498584	1	0	0	0	0	12	9	0	0
LOC111559706	0	0	0	0	0	9	2	0	0
LOC109498098	0	0	0	0	0	12	26	0	0
LOC109498097	0	0	0	0	0	45	32	0	0
FOXA2	0	0	0	0	0	31	48	0	1
SSTR4	0	0	0	1	0	55	65	0	0
THBD	441	685	595	570	742	53	48	1131	1207
CD93	8	3	0	0	1	93	155	109	131
NXT1	239	315	273	262	333	34	32	162	240
GZF1	808	1039	821	918	1334	105	109	558	679
NAPB	177	204	175	176	208	155	169	114	126
CSTL1	0	0	0	0	0	49	47	0	0
CST11	0	0	0	0	0	37	28	0	0
LOC102900809	0	0	0	0	0	10	26	0	0
CST8	0	0	0	0	0	31	47	0	0
LOC101088321	0	0	0	0	0	46	73	0	0
LOC101089343	0	0	0	0	0	34	33	0	1
LOC109498586	0	0	0	0	0	25	25	0	0
CST3	2402	4904	4309	1677	2117	67	59	10768	10704
LOC101088567	0	0	0	0	0	28	42	0	0
LOC111559707	0	0	0	0	0	18	29	0	0
LOC111559943	0	0	0	0	0	0	0	0	0
LOC109498101	0	1	0	0	0	42	37	0	0
SYNDIG1	0	0	0	0	0	132	133	1	0
CST7	24	21	13	8	14	114	93	7	8
APMAP	1598	2256	1833	2108	2859	171	140	1678	1932
LOC111559921	0	0	0	0	1	0	2	0	0
LOC111559798	0	1	1	1	2	1	8	1	0
ACSS1	415	662	561	458	631	175	199	406	391
VSX1	0	0	0	0	0	71	58	0	0
ENTPD6	221	287	282	353	437	215	222	179	220
PYGB	1438	2062	1836	1972	2383	289	270	1922	2059
ABHD12	602	1089	928	922	1234	183	220	650	734
GINS1	23	51	32	33	38	111	103	9	9
NINL	374	432	344	538	533	288	255	273	351
NANP	99	90	80	194	263	35	38	66	83
LOC105260261	0	0	0	0	0	17	38	0	0
LOC102899245	0	0	0	0	0	69	108	0	0
SOWAHC	2368	3056	2420	4342	5641	58	97	1847	2341
10-Sep	5379	5188	4057	6198	8724	87	76	3353	4362
SH3RF3	706	716	615	1214	1556	192	212	971	1068
LOC111559969	0	1	0	2	1	10	6	0	0
EDAR	3	1	1	2	0	110	133	0	0
LOC111559799	0	2	3	2	2	97	90	0	4
CCDC138	58	47	57	69	91	63	50	17	39
LOC111560014	0	0	0	0	0	0	1	0	0
LOC101094012	4969	5815	4647	6045	7293	919	679	3297	4289
LOC111559967	0	0	1	2	0	5	6	0	0
LIMS1	5681	5675	4601	7888	10292	193	184	4834	6286
GCC2	1233	1375	1170	1549	2228	338	304	1233	1422
SULT1C4	67	76	44	85	105	49	78	21	35
LOC101097138	1	0	0	0	0	51	59	0	0
LOC101095165	0	2	0	0	0	83	98	0	0
LOC109498109	0	0	0	0	0	5	13	0	0
SLC5A7	0	0	0	0	0	87	67	0	0
LOC111559893	0	0	0	0	0	15	17	0	0
ST6GAL2	209	177	147	65	112	83	113	595	706
LOC109498110	1	0	0	0	0	46	58	2	4
LOC109498590	0	0	0	0	0	33	37	0	0
LOC111559926	0	0	0	0	0	0	6	0	0
UXS1	307	292	238	293	390	163	152	319	418
CA3H2orf40	21	99	78	1	2	31	59	46	58
NCK2	1292	1328	1131	1646	1857	136	102	1638	1801
LOC109498111	0	0	0	0	0	42	42	0	0
LOC109498112	0	0	0	0	0	44	54	0	0
LOC109498113	0	0	0	0	0	22	29	0	0
FHL2	2748	2626	2451	2623	3284	134	124	3235	3925
CA3H2orf49	1037	1141	975	1180	1675	99	91	813	893
LOC102900103	12	23	10	12	30	24	26	11	12
TGFBRAP1	782	971	970	916	1083	249	199	698	773
GPR45	0	0	0	0	0	43	54	0	0
LOC111559800	0	0	1	0	0	62	51	0	0
LOC109498114	0	0	0	1	0	53	58	0	0
LOC109498115	8	1	2	6	12	26	30	0	0
MRPS9	521	699	508	586	744	174	170	306	456
LOC109498120	0	0	0	0	0	21	28	0	0
LOC111559801	0	0	0	0	0	23	26	0	0
POU3F3	0	8	3	1	0	9	8	3	3
LOC109498119	0	0	0	0	0	201	260	0	1
LOC111559802	0	0	0	0	0	111	131	0	0
LOC109498592	0	0	0	0	0	18	23	0	0
LOC111560011	0	0	0	0	0	1	2	0	0
TMEM182	116	146	107	134	205	53	84	87	67
MFSD9	846	1034	835	1076	1384	146	164	480	671
SLC9A2	0	0	1	1	2	76	90	1	0
LOC111559935	0	0	0	0	0	2	0	0	0
SLC9A4	0	0	0	0	0	156	171	0	0
LOC109498124	0	0	0	0	0	2	5	0	0
IL18RAP	0	0	0	0	0	328	284	0	0
IL18R1	0	1	0	0	0	314	294	0	1
IL1RL1	1	0	1	0	0	140	159	29	41
IL1RL2	81	136	89	352	434	214	235	48	84
IL1R1	5218	6577	5178	3204	4342	209	178	3423	4209
IL1R2	7	15	7	7	16	67	97	12	16
MAP4K4	6460	7627	6231	8981	11857	1063	894	4308	5162
RFX8	45	48	47	39	35	219	262	26	18
CREG2	177	131	87	60	114	62	103	73	90
LOC109498130	0	0	0	0	0	47	47	0	0
RNF149	917	1167	875	956	1209	207	164	727	947
LOC111559977	27	63	76	72	62	49	15	18	29
CNOT11	1620	1741	1439	1908	2413	91	78	990	1330
LOC109498518	2	3	1	0	1	70	76	0	1
TBC1D8	140	220	224	189	232	117	167	61	105
RPL31	10516	10477	8733	12743	15616	388	240	7879	9189
NPAS2	61	81	51	71	109	157	160	90	99
LOC109498132	0	0	1	0	0	39	61	1	2
PDCL3	2166	2315	1850	2710	3488	204	144	2122	2614
LOC109498133	1	0	0	3	3	17	11	0	0
NMS	137	221	142	129	206	92	102	145	134
CHST10	3989	5734	4975	5167	6540	150	155	4155	4976
LONRF2	1	4	5	2	2	95	90	1	3
AFF3	56	88	74	52	51	461	456	34	37
REV1	887	834	645	963	1292	221	226	463	559
EIF5B	1970	2034	1610	2472	2897	1058	708	1113	1330
TXNDC9	1037	1135	877	1200	1687	94	109	669	842
LYG1	0	0	0	0	0	49	53	0	0
LYG2	0	0	0	0	0	42	39	0	3
LOC111559805	4	1	0	5	1	12	23	0	0
MRPL30	293	389	279	392	496	82	115	249	339
MITD1	320	474	411	340	445	71	55	263	341
LIPT1	30	49	36	42	72	47	36	18	18
CA3H2orf15	0	6	1	0	0	44	56	0	3
TSGA10	1	12	15	11	21	76	86	5	5
LOC101087915	14	10	7	15	24	13	12	7	5
KIAA1211L	11	50	32	83	88	129	185	41	44
MGAT4A	74	251	168	457	706	300	199	136	202
UNC50	245	284	273	269	369	76	57	157	230
LOC101088658	289	295	217	410	514	18	15	280	344
INPP4A	1552	1618	1321	2086	2442	497	440	976	1101
LOC111559906	0	0	0	0	3	2	3	0	0
CNGA3	1	2	0	0	2	217	212	0	0
LOC111560017	0	0	0	0	0	3	3	0	0
VWA3B	0	0	0	1	0	208	271	0	0
TMEM131	590	766	507	729	1018	497	534	429	525
LOC111559806	1	2	2	2	0	29	37	2	3
LOC101097059	11	12	14	8	11	591	383	5	2
LOC109498141	0	0	0	0	1	28	36	0	0
LOC102902283	10	8	8	1	11	89	111	1	5
ACTR1B	1829	2004	1754	2113	2463	104	126	1226	1444
LOC101090761	2929	3249	2809	3424	3914	151	89	2729	3198
FAM178B	25	33	28	36	42	182	240	35	53
LOC109498142	0	0	0	0	0	26	21	0	0
SEMA4C	496	350	330	578	713	161	208	268	337
ANKRD39	147	127	132	166	180	34	26	166	160
ANKRD23	83	112	94	80	85	89	67	39	67
CNNM3	290	553	493	400	550	209	196	284	280
CNNM4	221	167	163	313	408	173	271	135	134
LMAN2L	393	503	410	587	675	176	164	335	377
FER1L5	203	385	278	327	391	418	518	141	169
KANSL3	1064	1269	1099	1398	1743	325	345	793	956
OXER1	3	1	0	0	0	40	56	0	0
HAAO	1	1	1	1	0	34	34	2	1
LOC102899645	307	248	236	290	334	132	111	229	277
TRNAI-UAU	2	8	6	7	6	21	13	4	2
LOC105260434	12	20	13	13	8	42	60	13	26
LOC109498145	10	22	19	9	13	23	18	12	13
LOC109498147	0	0	0	1	1	38	38	0	0
LOC109498146	0	0	0	0	1	8	8	0	0
LOC111559808	0	0	0	0	0	52	57	1	0
ZFP36L2	1580	1951	1561	1370	1558	347	205	1324	1775
THADA	847	892	732	780	1084	258	284	623	677
PLEKHH2	952	1210	928	1196	1510	210	268	1124	1433
C1GALT1C1L	1	0	0	0	0	10	20	2	1
DYNC2LI1	332	552	429	372	560	59	74	454	533
ABCG5	5	3	3	3	7	63	80	5	2
ABCG8	0	1	0	0	0	110	166	1	1
LRPPRC	5042	5244	4118	5171	6872	198	194	3399	4455
PPM1B	1557	1620	1265	1585	2315	250	209	1047	1350
SLC3A1	66	121	91	115	149	43	34	36	53
PREPL	399	651	532	655	886	81	135	277	267
CAMKMT	76	64	63	76	94	67	75	91	98
LOC109498595	0	1	0	0	0	58	96	0	0
LOC111559809	0	0	0	0	0	44	42	0	0
LOC109498152	0	0	0	0	0	150	176	0	1
SIX3	0	1	0	0	0	97	123	0	2
SIX2	3	2	2	0	4	24	26	0	1
LOC109498153	1	3	2	2	0	75	60	0	0
LOC111559811	1	6	1	1	1	155	176	2	3
SRBD1	713	1100	840	936	1163	233	265	438	547
LOC102900228	5	1	5	2	3	98	101	4	0
LOC109498156	3	0	0	0	1	16	16	0	0
LOC111559812	0	2	3	1	7	37	51	0	1
PRKCE	1077	883	776	1237	1345	250	265	595	709
LOC111559813	1	2	1	0	0	67	62	0	0
LOC109498596	0	0	0	0	0	57	55	0	0
LOC109498597	1	0	0	1	0	36	29	0	0
EPAS1	2296	1430	1198	1266	1714	664	515	2348	2654
LOC111559814	5	3	1	1	2	15	25	2	3
TMEM247	2	1	1	3	3	26	48	1	4
ATP6V1E2	10	12	7	5	10	74	74	7	11
RHOQ	13766	16550	13437	17874	22154	66	84	9427	12139
PIGF	104	106	94	123	165	47	53	63	104
CRIPT	113	148	113	138	203	21	34	85	133
SOCS5	15905	19581	14977	15463	19254	57	58	11145	13893
MCFD2	1741	2231	1837	1437	1826	150	160	1824	2422
LOC111559936	1	0	0	0	1	4	1	0	2
TTC7A	1479	1182	1136	1072	1297	399	383	1292	1523
LOC109498158	33	13	7	14	13	137	121	14	20
CALM2	9855	9176	7147	13434	17882	444	246	8824	11561
LOC109498520	8	6	9	22	39	73	113	32	53
EPCAM	82	57	34	131	231	86	82	47	47
MSH2	402	278	225	347	570	100	103	146	160
KCNK12	0	1	0	0	0	101	101	3	1
MSH6	1276	1272	1104	1717	2412	494	370	729	888
FBXO11	1033	1233	908	1178	1576	301	216	610	802
LOC109498160	0	1	0	0	0	33	36	0	0
FOXN2	1085	1056	754	1114	1458	119	97	577	785
PPP1R21	542	633	502	608	682	182	203	375	454
STON1	100	92	55	134	184	137	155	148	229
LHCGR	0	0	0	0	1	138	184	0	3
GTF2A1L	0	0	0	0	1	33	26	0	0
LOC109498165	0	0	0	0	0	6	4	0	0
FSHR	0	0	0	0	0	81	106	1	0
LOC111559709	0	0	0	0	0	8	17	0	0
LOC109498163	0	0	0	0	0	32	26	0	0
NRXN1	0	0	0	0	0	264	300	0	1
