X1	4438	4460	4474	4501	4510	4520	DC1MINUS	DC2MINUES	DC4MINUS	MischiefMinus	X2654MINUS
LOC109499530	8	4	8	2	3	4	1	0	0	15	0
DEK	6763	7115	6355	3308	1202	5251	1417	1228	1896	1171	773
KDM1B	1679	1677	1624	1069	389	1615	1211	1395	1713	210	763
TPMT	53	71	59	43	30	59	218	340	260	56	52
NHLRC1	17	21	13	12	8	17	35	36	35	17	27
KIF13A	1381	1141	1434	684	320	629	3979	4924	4203	272	2903
LOC102901178	2	5	5	8	4	3	3	2	3	14	3
NUP153	2404	2197	2112	1563	585	1534	1158	1056	1351	553	825
LOC111560417	83	55	77	66	30	57	38	24	27	75	12
FAM8A1	910	1317	775	745	226	777	792	1251	1093	119	754
CAP2	7	3	8	3	15	3	645	941	1244	125	834
RBM24	3	4	1	0	5	2	36	46	42	27	11
LOC111560418	4	2	2	2	20	0	1	1	0	56	0
LOC109500125	1	3	1	0	0	2	0	0	0	17	0
LOC109500126	2	2	1	0	5	1	0	0	0	1	0
STMND1	0	2	0	1	6	0	0	0	0	77	0
LOC111560419	1	0	0	2	1	0	0	0	0	15	0
LOC109499545	1	1	0	0	5	1	0	0	0	25	0
LOC102901731	0	0	0	0	5	2	1	4	0	18	0
LOC111560682	1	0	0	0	0	0	0	0	0	0	0
LOC111560666	0	0	0	0	0	0	0	0	0	2	0
LOC109499549	7	26	13	13	10	5	20	4	21	14	5
ATXN1	349	351	366	204	83	172	451	479	561	258	296
LOC111560706	1	1	0	1	0	0	0	0	0	4	0
GMPR	960	1439	1162	759	307	1458	329	347	294	101	1252
LOC111560420	20	6	12	11	12	10	0	2	1	58	0
MYLIP	1178	1829	977	501	252	1103	188	208	222	111	355
LOC109500128	0	1	0	1	7	0	0	0	0	32	0
LOC109499552	0	0	1	1	6	1	0	0	0	31	0
DTNBP1	2380	2706	3334	1970	821	2374	137	173	218	73	132
JARID2	3150	2566	2737	1769	755	2182	356	345	647	448	203
LOC109500129	0	0	0	0	6	0	0	0	1	72	0
LOC111560579	0	8	1	1	6	1	0	0	0	1	0
LOC109499556	0	0	0	1	1	0	0	1	0	47	0
LOC111560622	0	0	0	0	0	0	0	0	0	0	0
LOC102902135	2	3	0	0	6	0	0	0	0	33	0
LOC109500132	0	0	0	0	1	0	0	0	0	14	0
LOC102902167	0	0	0	0	6	0	0	0	0	13	0
LOC109499557	0	1	0	2	3	1	0	0	0	21	0
CD83	166	184	245	196	39	183	24	22	7	106	4
LOC109499559	14	5	8	2	12	14	2	5	0	28	2
LOC111560421	9	8	11	3	2	1	0	1	0	44	0
RNF182	42	17	22	5	10	18	1	0	1	41	3
MCUR1	536	392	550	352	120	316	386	512	425	186	351
RANBP9	3459	2759	3620	1622	624	2467	1175	1274	1593	270	874
NOL7	634	665	667	348	134	412	837	954	1216	257	647
SIRT5	412	485	329	193	95	275	180	253	396	78	261
GFOD1	835	1337	804	467	217	876	1257	1102	1562	193	1540
LOC101090689	737	632	692	513	166	565	830	896	1312	117	628
PHACTR1	1195	1152	1270	1160	338	1314	8	7	16	219	7
LOC109499561	30	16	34	26	9	24	1	0	2	20	0
TRNAK-CUU_22	0	0	0	0	1	0	0	0	0	2	0
LOC109500134	0	0	0	0	1	0	1	4	0	5	2
EDN1	1	1	1	3	13	2	117	256	529	95	65
LOC109500135	2	2	3	2	3	1	0	0	0	17	0
HIVEP1	1186	1317	1061	870	383	934	215	224	314	460	169
LOC102899917	12	11	23	10	7	11	1	1	2	20	0
LOC109499562	1	1	0	0	4	0	0	0	0	49	0
LOC109499563	2	4	0	2	1	1	0	0	0	25	0
LOC109499566	2	1	2	0	5	0	0	0	0	26	0
LOC102899997	0	4	1	0	4	1	0	0	0	36	0
ADTRP	23	22	7	2	8	10	21	36	7	70	16
LOC109499565	1	4	4	0	1	5	2	3	0	49	2
LOC102900121	1	3	2	4	5	2	0	0	0	98	0
LOC109500091	0	0	2	1	1	0	0	0	0	33	0
TMEM170B	2644	3473	2859	1674	1012	2359	95	124	197	46	80
LOC109499569	3	0	0	0	4	0	0	0	0	38	0
NEDD9	1899	1937	1989	1378	465	1598	2869	7947	3492	420	5345
SMIM13	24	23	34	19	6	25	52	48	57	20	25
ELOVL2	6	1	1	0	8	1	0	3	1	51	1
SYCP2L	3	2	1	2	17	1	1	1	0	81	0
GCM2	3	1	2	2	10	4	0	0	0	49	0
MAK	1178	735	1340	775	390	1285	18	8	19	154	19
TMEM14C	807	854	871	440	163	669	980	1066	1585	81	898
PAK1IP1	467	454	419	277	73	313	667	678	728	89	417
CB2H6orf52	1	0	1	0	0	0	0	0	0	3	0
GCNT2	134	157	147	82	38	81	0	0	1	94	1
LOC109491352	612	474	760	316	116	400	0	1	0	95	0
LOC111560422	2	1	1	0	3	1	8	22	15	21	31
TFAP2A	1	0	1	2	3	1	20	50	32	50	78
LOC109499573	3	4	8	10	4	1	1	4	1	19	6
LOC109499574	1	3	4	3	23	2	0	2	0	11	1
LOC109500137	0	0	0	1	2	0	0	0	0	14	0
LOC109500138	0	0	3	1	5	1	0	0	0	55	0
LOC109500139	0	0	0	0	1	0	1	6	6	7	7
LOC101096891	1	0	3	1	9	1	3	1	0	162	11
LOC111560423	0	0	1	0	0	0	0	0	0	1	0
LOC109499575	1	0	1	2	9	2	0	0	0	43	1
LOC111560593	2	0	0	0	5	0	0	0	0	14	0
LOC109499577	1	0	2	1	12	3	1	0	0	24	0
SLC35B3	582	716	640	301	160	464	623	672	590	96	382
EEF1E1	161	189	130	83	39	122	416	452	409	25	292
LOC109499578	2	1	4	1	11	4	0	1	1	13	1
BLOC1S5	1000	852	960	559	235	710	989	1153	1219	133	608
LOC109499579	4	2	7	1	1	2	1	3	5	9	1
TXNDC5	475	544	499	458	95	464	11006	13753	9258	66	6463
BMP6	45	31	50	36	14	35	1685	2788	1330	84	985
SNRNP48	482	413	401	183	79	255	515	433	565	124	356
DSP	88	58	17	22	29	20	51	10	17	1184	0
LOC111560645	0	0	0	0	0	0	0	0	0	0	0
RIOK1	1019	922	811	492	255	539	424	414	654	325	509
CAGE1	96	55	105	43	43	40	34	67	89	110	2
SSR1	5212	5763	5442	2706	1221	4170	8109	7898	8010	364	4944
RREB1	661	482	594	519	253	366	214	256	281	374	178
LOC109499583	4	1	4	0	5	4	0	0	0	31	0
LOC111560424	3	0	0	1	3	0	1	1	0	22	1
LOC109499584	0	0	0	0	0	0	0	0	0	12	0
LOC105260557	3	1	0	1	3	0	0	2	1	6	0
LY86	662	346	685	462	171	532	0	1	2	40	0
LOC109499585	39	6	29	54	16	17	1	0	0	62	0
LOC111560425	1	1	1	0	12	1	0	0	0	54	0
F13A1	2000	1208	3436	740	565	1339	0	11	1	108	2
LOC109499586	0	0	2	2	1	0	0	0	0	2	0
LOC111560715	0	0	0	0	0	0	0	0	0	6	0
NRN1	322	6	2	25	36	1	466	2789	132	36	8034
LOC109499587	1	0	0	0	2	0	0	3	0	14	10
LOC109500144	0	5	0	1	4	0	0	0	0	24	0
FARS2	355	414	381	259	115	270	451	554	542	238	340
LOC109499589	1	0	0	0	1	0	0	0	0	13	0
LOC111560426	14	1	13	16	14	5	2	3	5	87	0
LYRM4	120	150	160	103	36	115	246	369	276	64	202
LOC111560689	0	0	1	1	0	0	0	0	1	7	0
PPP1R3G	22	19	27	16	11	28	70	53	110	18	58
LOC111560428	7	1	0	0	6	0	1	1	0	31	1
RPP40	113	155	103	54	17	69	293	397	342	21	495
LOC111560427	11	16	2	9	3	5	7	7	6	19	4
CDYL	482	480	506	348	148	318	888	1132	1175	173	494
LOC111560429	1	0	1	3	1	0	0	0	0	59	0
LOC102899275	23	2	15	6	5	9	8	1	17	19	2
LOC111560430	6	1	3	6	17	4	3	0	1	101	1
LOC109499593	0	1	0	1	9	3	0	0	0	22	0
ECI2	300	261	316	114	52	191	852	1349	810	81	994
FAM217A	63	35	54	34	18	31	8	10	7	36	8
PRPF4B	9346	7226	7388	3705	1379	5018	2534	2624	2751	660	1418
FAM50B	0	0	1	0	3	0	0	0	0	34	0
PXDC1	284	136	401	118	85	186	2516	3016	3607	86	1485
LOC111560431	16	20	25	26	17	18	2	2	1	60	0
SLC22A23	129	168	114	192	72	102	188	394	581	232	130
LOC111560659	0	0	0	0	1	1	0	0	0	6	0
LOC102899870	8	4	6	9	27	3	13	12	12	151	10
PSMG4	322	297	368	193	72	221	432	453	560	65	239
LOC109499594	19	17	19	16	10	20	4	0	1	40	0
LOC109499595	6	1	0	1	3	0	15	10	7	48	10
TUBB2B	101	114	6	108	44	7	1177	869	1502	29	2465
LOC111560610	20	34	0	18	4	0	65	115	129	2	59
LOC109499597	31	63	34	21	15	46	1	0	5	34	2
TUBB2A	1149	1305	1090	759	414	1349	2794	3672	4993	143	4827
BPHL	30	22	50	25	11	39	26	111	26	83	73
LOC109499599	0	0	1	2	0	1	1	2	0	3	0
LOC109499598	2	4	1	4	8	0	0	0	0	32	0
LOC111560632	0	0	2	0	2	0	0	2	0	2	0
RIPK1	2008	1884	1745	658	448	1201	1502	1809	1685	291	1216
NQO2	14	10	26	13	6	13	1072	1408	1057	56	729
LOC109499600	2	5	8	2	6	1	1	0	1	9	1
LOC111560432	103	78	101	30	16	41	3	2	1	28	2
SERPINB6	281	479	312	136	68	207	1229	1739	1392	73	726
SERPINB9	987	1705	1677	493	222	905	810	1269	1600	240	866
LOC109499601	2	3	2	2	8	4	3	5	6	53	2
SERPINB1	3104	1236	4395	1703	1193	2408	1442	1254	1103	84	812
WRNIP1	938	913	931	485	198	785	1026	966	1188	223	519
MYLK4	3	2	3	2	9	1	1	0	1	147	0
LOC109499603	0	1	0	2	7	0	0	0	0	59	0
LOC111560749	0	0	0	0	0	0	0	0	0	3	0
GMDS	356	339	345	232	77	279	260	428	356	79	148
LOC109499604	7	4	1	13	4	3	0	0	0	20	0
FOXC1	3	1	7	4	12	5	255	293	350	70	77
FOXF2	1	0	3	1	4	0	36	23	51	41	3
LOC109499607	2	1	1	0	7	0	0	0	1	80	1
FOXQ1	0	1	0	0	1	1	0	1	0	9	0
LOC109500146	1	5	1	1	5	0	1	0	0	56	0
EXOC2	1979	2026	2105	988	447	1560	1980	1912	2248	186	1254
HUS1B	32	10	23	25	15	14	7	1	6	22	2
LOC109499609	38	26	42	34	15	19	2	3	3	61	1
IRF4	1287	732	1189	878	187	680	0	0	0	399	0
DUSP22	1377	924	1088	630	199	691	206	281	255	162	132
LOC109499610	6	4	7	3	4	7	0	1	0	32	0
LOC111560433	270	296	294	208	61	191	60	79	72	35	32
LOC109500088	17	30	15	15	5	23	2	5	5	23	4
LOC111560434	20	15	14	22	9	16	2	2	4	35	1
LOC102901769	825	695	627	288	117	442	242	283	353	208	169
RPP21	264	227	259	96	40	180	98	106	134	68	101
LOC111560668	0	0	0	0	3	0	0	0	0	0	0
GNL1	1033	699	781	523	182	569	867	915	1027	325	561
PRR3	258	213	220	171	64	140	284	352	335	110	208
ABCF1	2486	1936	2273	1150	462	1789	1789	1654	2049	869	1052
PPP1R10	1205	811	1018	807	292	654	525	387	525	592	326
MRPS18B	1747	1832	1491	651	258	1082	1005	1052	1027	115	536
ATAT1	166	129	110	81	53	89	54	70	102	138	45
CB2H6orf136	319	338	270	151	60	215	68	79	66	154	37
DHX16	2017	1896	1707	714	266	1267	784	926	846	521	636
PPP1R18	1329	960	1127	976	369	889	1013	1117	1225	653	927
NRM	373	227	252	202	74	209	95	75	88	68	71
LOC102899100	90	29	59	40	11	32	15	5	7	12	6
MDC1	1170	823	978	673	281	606	649	781	940	702	442
TUBB	4407	4257	4096	2595	939	3379	17230	13554	23255	741	14973
FLOT1	1956	1682	2299	1177	428	1424	949	1115	1199	378	861
IER3	145	90	122	71	44	112	1926	1570	2509	167	1460
LOC109499533	0	0	1	1	5	1	1	1	0	32	0
LOC109499535	0	0	0	0	0	0	1	0	0	17	0
LOC109499534	0	0	0	0	1	2	9	0	3	57	1
DDR1	333	357	351	149	76	194	390	659	900	206	460
GTF2H4	265	223	194	103	77	174	392	502	465	214	274
VARS2	1289	907	953	731	245	760	534	730	903	265	487
SFTA2	48	8	39	51	15	11	6	5	5	53	3
LOC111556229	30	11	15	23	10	9	2	0	0	88	0
DPCR1	88	25	53	94	41	32	8	10	2	287	4
MUC21	4	1	0	2	4	2	0	0	0	84	0
CDSN	5	3	6	10	28	2	0	0	0	162	0
PSORS1C2	10	8	12	4	6	6	4	11	8	57	5
CCHCR1	283	232	253	93	66	162	142	155	199	316	120
TCF19	145	166	162	66	36	94	65	5	49	187	4
POU5F1	2	1	0	0	8	1	0	0	0	53	0
LOC101080285	2758	3645	1832	1617	751	2097	174	280	384	113	176
LOC105260551	11536	15230	9902	6559	2856	9239	828	435	385	746	346
LOC101081045	105	128	73	25	11	60	0	0	0	79	1
LOC111560611	0	0	0	0	5	0	0	0	1	28	0
LOC109499542	7	8	12	1	3	4	0	0	0	3	0
LOC101081297	817	918	326	370	205	293	89	113	44	50	17
LOC101080790	1627	1923	1418	1062	428	1202	155	81	58	236	85
LOC109499541	12	24	18	6	12	16	0	0	0	0	0
LOC111560435	0	0	0	0	0	0	0	0	0	0	0
LOC101099296	1855	1454	1418	1054	320	1278	110	85	179	267	33
MCCD1	121	73	71	47	36	78	20	10	11	32	10
DDX39B	3836	3622	3039	1888	759	2498	1428	1238	1597	484	861
LOC111560685	39	19	23	24	3	24	5	7	8	27	1
LOC111560684	63	57	49	18	4	51	11	9	12	13	0
ATP6V1G2	12	15	6	8	9	9	0	2	5	50	1
NFKBIL1	254	249	238	160	77	181	408	480	536	110	295
LOC109499613	36	36	38	24	12	13	2	2	3	44	3
LTA	290	170	179	115	52	114	0	0	0	244	0
TNF	219	108	95	58	32	111	0	0	0	120	0
LTB	5719	6662	4835	2508	849	4336	0	0	0	250	2
LST1	230	150	372	142	57	158	1	0	0	17	0
NCR3	414	462	552	220	83	176	0	0	0	53	0
AIF1	612	240	783	226	229	316	0	0	0	34	0
PRRC2A	2655	1845	2087	1956	733	1646	1426	1620	1831	1385	1169
LOC111560699	335	144	235	191	137	357	61	96	114	9	22
BAG6	3469	3099	3428	2101	699	2695	3849	4154	4738	558	2715
APOM	69	76	64	32	21	46	103	166	112	65	85
CB2H6orf47	387	410	309	153	83	274	591	666	745	78	369
GPANK1	343	325	316	149	66	238	345	443	483	75	260
CSNK2B	351	326	359	225	102	276	558	566	784	184	521
LY6G5B	246	209	184	110	51	107	95	47	58	69	34
LY6G5C	25	9	15	10	14	14	5	1	3	80	0
LOC109499617	33	5	35	10	19	15	7	7	1	43	2
ABHD16A	967	1051	917	532	221	779	542	547	542	188	398
LOC111560437	47	47	33	16	4	24	5	3	6	2	2
LY6G6F	8030	9430	8476	5678	3252	11301	1	0	0	72	0
LOC102901967	2187	3468	2592	1735	643	2985	0	0	1	45	0
LY6G6C	5	1	0	2	7	1	2	0	1	30	0
MPIG6B	7509	5951	6360	11585	4398	5454	8	1	1	127	3
DDAH2	91	79	80	58	19	69	938	699	811	51	647
CLIC1	3060	2976	3679	1646	748	2769	3178	2963	3686	291	2740
MSH5	46	47	33	27	46	27	13	14	8	234	4
SAPCD1	2	0	0	0	1	3	0	0	0	33	0
VWA7	8	7	11	3	15	8	0	2	1	138	0
VARS	1188	1050	868	713	254	817	1656	1821	2337	290	1473
LSM2	247	245	249	134	60	173	281	275	304	65	173
LOC101091022	53	54	47	36	14	39	16	23	19	88	15
LOC105260573	413	328	250	157	89	199	428	628	574	39	505
LOC102899052	1580	1933	1839	832	418	1544	2508	3584	2246	85	2128
LOC111560696	32	29	32	12	3	22	7	17	18	18	7
LOC111560693	99	98	96	29	21	70	37	39	27	2	18
NEU1	346	290	376	239	109	319	386	492	594	77	245
SLC44A4	3	2	2	0	12	6	0	0	1	130	0
EHMT2	2324	2207	1913	864	384	1569	1042	1327	1281	393	681
ZBTB12	77	64	50	67	13	67	27	51	51	13	17
C2	29	19	34	8	16	28	111	119	102	129	240
CFB	95	50	62	24	28	30	35	20	31	239	28
NELFE	330	298	336	186	70	219	446	495	560	159	386
SKIV2L	934	862	970	458	155	770	1539	1764	1660	277	1184
DXO	195	197	178	135	46	123	124	127	166	102	136
STK19	349	286	371	165	84	263	409	383	414	93	361
LOC101094346	316	163	195	140	89	177	656	3631	1063	383	4487
LOC101094596	16	37	18	31	18	29	0	5	0	72	1
TNXB	54	20	34	15	55	15	195	69	62	335	89
ATF6B	1792	1529	1562	793	309	1197	1471	2043	1415	413	959
FKBPL	102	81	86	61	24	95	38	68	72	59	67
PRRT1	3	1	2	1	9	2	0	0	0	66	0
LOC105260570	49	37	50	30	13	28	2	2	0	25	2
PPT2	448	396	396	125	62	263	43	86	50	73	93
EGFL8	169	123	130	52	43	81	12	11	8	77	16
AGPAT1	409	253	318	372	156	273	180	213	218	190	144
RNF5	806	812	778	339	110	516	335	426	431	68	321
AGER	559	405	407	158	69	294	119	88	80	101	158
PBX2	2874	2830	2703	1440	496	2025	871	785	979	225	477
GPSM3	236	178	148	215	85	185	9	7	9	271	5
NOTCH4	48	29	46	35	23	26	24	38	27	165	19
LOC111560582	1	0	0	0	2	1	0	0	2	14	8
LOC111560583	0	0	0	0	0	0	0	0	0	0	0
LOC111560438	5	1	4	4	25	1	0	0	0	48	0
LOC109499620	1	2	1	0	7	1	0	0	1	35	0
CB2H6orf10	5	1	1	3	30	3	0	0	1	123	0
LOC111560640	0	0	0	0	0	0	0	0	0	4	0
LOC101081137	8	41	20	6	5	13	0	0	1	84	0
LOC101081382	76	195	40	19	30	34	0	0	0	106	0
BTNL2	4	1	0	1	10	2	0	0	0	137	0
SLC26A3_1	37899	33725	44668	27351	8603	36870	0	0	0	254	7
DRA	6509	5080	7266	6605	1468	6801	0	0	0	144	1
LOC101098301	5582	3905	4081	3972	1265	4193	0	0	0	62	0
LOC101088734	2341	1473	1602	1908	613	1825	0	0	0	6	0
LOC102899262	5645	4258	5090	4126	1182	4127	0	0	0	14	2
LOC111560650	1	0	0	0	0	0	0	0	0	1	0
LOC101082653	5308	3967	5841	4402	1234	5001	1	0	0	72	1
LOC101082906	1076	628	1161	751	179	1154	0	0	0	29	0
LOC101089770	337	373	274	131	60	274	18	18	25	39	12
LOC101083171	1010	1251	385	420	219	437	4	8	0	52	11
LOC101083591	404	557	187	171	114	227	36	26	43	91	56
LOC101083848	829	1264	759	286	243	893	8	2	21	21	10
LOC101090265	469	304	854	342	114	771	0	0	0	8	3
LOC101084108	271	206	537	225	69	436	3	0	0	10	0
LOC101084362	344	314	214	186	54	219	134	105	274	49	93
LOC101090518	1255	943	1269	1312	287	1121	0	0	1	18	0
LOC111560709	0	0	0	0	0	0	0	0	0	3	0
LOC101084962	2	0	0	2	1	0	0	0	0	27	0
LOC101090771	1	1	2	4	10	1	0	0	0	3	0
LOC101085209	1	2	6	5	12	5	3	0	3	103	0
LOC101085801	207	201	208	114	45	144	122	164	168	32	39
LOC101086060	85	83	161	47	18	138	400	71	235	17	127
LOC101086309	102	106	196	51	11	125	52	33	60	23	1
LOC101086561	9	2	5	4	0	7	137	8	154	9	59
LOC101086807	107	96	101	50	20	67	69	83	44	71	51
LOC101087230	7	2	3	3	1	1	4	3	2	20	1
LOC101087480	94	80	80	39	20	40	44	35	61	40	34
LOC101087740	99	70	100	49	15	79	100	126	117	35	58
LOC109499623	3	6	9	9	0	5	2	5	11	2	0
LOC101088333	2	5	0	2	4	1	2	1	1	1	3
LOC101088748	19	20	27	7	6	16	1	2	2	29	0
LOC101091023	215	218	391	134	61	314	30	0	13	90	33
LOC101089010	46	44	51	27	8	28	20	30	19	36	10
LOC101089265	6	11	7	0	0	10	16	11	27	37	5
LOC109499625	0	0	0	0	0	0	0	0	0	0	0
LOC101087231	0	1	0	0	0	0	0	0	0	0	0
TRNAY-GUA_4	0	0	0	0	0	0	0	0	0	0	0
LOC111560440	3418	2487	4258	2496	715	3299	0	0	0	64	0
LOC111560651	0	0	0	0	0	0	0	0	0	0	0
LOC111556169	747	567	1303	778	169	1319	0	0	0	20	0
LOC111560441	363	237	78	218	63	68	0	0	0	65	0
LOC111556311	47	54	65	14	11	51	7	17	7	75	0
LOC111556170	556	699	1154	256	143	1182	7	6	5	110	0
LOC111560442	425	624	435	149	93	460	47	69	49	17	11
LOC111556171	64	75	57	11	11	46	9	18	7	73	3
LOC111556173	1064	777	574	708	278	566	2	1	3	22	10
LOC111560443	273	207	10	253	63	8	0	0	1	3	0
LOC111556174	1337	1238	1219	698	221	1043	858	768	814	207	498
LOC111560444	0	1	1	1	0	1	0	0	0	26	0
LOC111560708	0	0	0	0	0	0	0	0	0	4	0
LOC111556176	0	3	1	3	2	1	0	0	0	15	0
LOC111560445	0	0	0	1	0	0	0	0	0	23	0
LOC111556258	7	4	1	8	15	3	2	2	0	110	0
LOC111556172	12	6	10	8	1	4	0	3	2	19	30
LOC111556168	92	92	3	30	16	2	7	363	249	20	191
LOC111556166	149	183	35	64	20	35	56	63	48	2	51
LOC111556167	156	141	141	79	39	98	121	245	137	24	74
VPS52	158	127	141	77	43	114	105	98	157	70	112
RPS18	31	14	12	13	7	19	3	2	4	29	2
B3GALT4	25	23	25	14	4	12	14	11	23	16	5
WDR46	29	17	18	13	6	12	9	8	14	13	23
LOC111560451	76	51	37	19	8	36	21	10	10	12	9
PFDN6	3	5	6	0	3	8	3	0	0	4	0
RGL2	95	85	86	54	23	55	32	49	41	19	26
TAPBP	302	334	7	169	56	11	48	88	74	38	72
ZBTB22	38	32	47	25	6	36	8	20	27	18	14
DAXX	1	2	1	0	0	0	4	0	0	2	0
LOC111560454	0	0	0	0	0	0	0	0	0	0	0
KIFC1	2	1	4	2	3	3	4	2	0	14	1
PHF1	1969	2166	1709	682	308	1329	932	912	914	121	620
CUTA	462	475	543	245	97	386	873	998	1076	61	691
SYNGAP1	212	123	89	97	148	59	82	109	109	377	57
ZBTB9	281	291	255	122	65	219	254	308	304	115	188
LOC102899796	79	64	66	37	18	41	15	12	7	42	15
LOC109499626	90	78	59	18	25	63	17	11	17	21	4
BAK1	659	727	762	358	196	549	453	482	629	121	345
LOC101087741	2	4	0	0	8	4	2	1	2	92	0
ITPR3	4840	3232	3716	3182	1083	2834	802	1090	1032	706	2428
LOC111560455	2	2	5	5	4	4	0	1	0	42	1
LOC101093686	328	299	289	157	74	197	303	377	422	65	269
LOC109499628	16	6	7	5	3	4	2	1	4	22	0
IP6K3	3	6	8	6	8	0	1	3	3	55	1
LEMD2	1125	993	977	497	209	916	702	891	871	119	540
MLN	0	0	0	0	1	0	0	0	0	47	0
LOC109499629	2	3	3	1	15	1	0	0	0	46	0
LOC109499630	2	1	8	0	0	5	0	0	0	7	0
LOC109500150	1	0	1	1	6	0	0	0	0	35	1
GRM4	23	7	6	3	35	2	1	1	1	185	4
LOC109499632	0	1	2	2	3	0	0	0	0	23	0
LOC109499631	18	30	17	7	8	8	17	5	3	142	11
LOC111560456	2	1	0	1	1	0	0	0	2	8	0
LOC111560457	6	3	2	6	4	10	1	1	1	11	0
LOC109499633	0	0	0	1	3	1	0	0	0	9	0
HMGA1	528	488	502	343	108	410	1182	745	384	177	371
SMIM29	220	227	204	114	43	147	260	298	301	35	217
LOC111560458	8	0	4	4	7	2	2	1	1	45	1
LOC101088487	3718	2546	3468	2091	847	2544	2960	3799	3477	580	2539
RPS10	12580	13755	15275	9245	3340	10738	9089	9628	9430	1279	7423
PACSIN1	74	82	79	122	43	38	0	0	0	108	2
SPDEF	2	5	1	0	7	2	0	0	0	83	0
CB2H6orf106	5202	4431	5090	3658	1396	4315	1791	2087	2362	296	1583
LOC111560641	2	2	3	5	0	2	0	0	0	0	0
LOC111560459	4	3	4	3	6	2	0	0	2	71	0
SNRPC	386	371	459	257	88	345	493	505	546	205	353
UHRF1BP1	570	490	418	564	213	326	844	863	1090	291	427
LOC111560687	0	0	0	1	2	1	0	0	0	11	0
TAF11	523	520	525	259	145	460	639	790	758	130	458
ANKS1A	996	717	977	589	239	683	458	425	547	395	550
LOC109499636	4	3	2	2	6	7	1	0	1	94	0
TCP11	6	9	14	8	15	24	4	15	8	98	3
LOC109499638	0	0	0	4	6	1	0	0	0	17	0
SCUBE3	11	6	13	10	43	6	1	0	3	338	1
ZNF76	495	504	425	211	103	332	216	206	248	169	237
DEF6	1799	1937	1611	692	336	1143	23	55	20	520	29
PPARD	113	98	114	81	46	71	222	309	338	161	246
LOC109499639	10	9	6	3	9	6	4	5	8	73	5
LOC109499640	4	2	2	5	5	2	2	3	1	22	7
FANCE	107	85	137	44	21	73	98	101	141	125	54
RPL10A	11690	10699	12695	7902	2377	9407	12529	12641	14015	526	8232
TEAD3	106	65	70	47	30	69	343	320	433	147	379
TULP1	4	1	5	1	22	2	5	5	7	141	1
FKBP5	768	709	557	334	142	311	85	116	124	399	56
LOC102901381	4	7	7	1	3	3	0	0	1	48	2
ARMC12	2	1	8	1	4	2	4	6	1	80	2
CLPSL2	1	1	0	1	2	0	0	0	0	4	0
LOC102900686	2	2	0	1	13	3	0	0	0	50	0
CLPS	0	0	0	0	2	0	0	0	0	22	0
LHFPL5	14	7	13	11	8	3	5	1	3	100	2
SRPK1	2939	2515	2759	1418	514	1941	1992	1839	2391	386	1370
LOC101091024	9	0	3	1	0	0	2	2	2	16	3
SLC26A8	8	17	8	13	33	13	2	3	6	201	4
MAPK14	3654	4044	4383	2295	888	3979	1019	1249	1412	122	846
LOC109499642	106	63	69	56	29	41	13	19	19	36	7
LOC102901786	11	13	17	4	3	15	2	0	0	106	0
MAPK13	492	294	634	266	124	388	10	15	18	55	15
BRPF3	478	346	413	267	119	277	347	323	447	289	245
LOC109499643	0	0	1	1	12	0	0	0	0	33	0
PNPLA1	1	1	5	3	9	1	0	0	0	172	0
CB2H6orf222	4	1	1	3	16	0	0	0	0	94	0
ETV7	17	83	18	9	22	31	0	0	1	118	1
PXT1	0	2	1	1	0	0	2	0	0	119	0
KCTD20	2412	1986	2426	1469	527	1736	853	956	1216	270	708
STK38	7855	7712	8406	6347	2079	7173	2272	2485	2689	249	1718
SRSF3	3704	3458	3358	2168	795	2826	2410	2263	3402	296	1570
LOC109499646	12	9	10	11	11	20	4	0	4	43	5
CDKN1A	216	136	186	140	77	164	3739	4742	4558	187	2868
RAB44	11	17	7	23	25	24	10	6	5	139	6
LOC101093019	0	2	2	3	5	0	0	0	0	31	0
CPNE5	78	52	100	33	33	60	0	1	2	218	0
PPIL1	1200	1388	1303	585	213	902	1771	1473	1867	176	843
CB2H6orf89	1122	1176	1198	896	341	828	1780	2302	1819	296	1619
LOC111560460	18	10	20	9	8	8	5	5	5	23	3
LOC109499649	32	15	31	58	32	22	10	7	1	37	4
LOC102902462	13	10	18	11	10	7	8	7	5	20	0
PI16	10	7	7	10	7	5	2929	786	384	59	104
MTCH1	2166	1988	2085	974	440	1673	4716	5120	4664	154	3528
FGD2	2114	1199	1481	1280	534	1384	12	6	6	74	0
LOC109499651	7	10	3	5	8	4	2	4	1	70	0
LOC109499652	0	0	5	2	18	1	9	3	20	76	0
PIM1	4996	4474	4414	2091	656	4307	197	56	303	193	38
TMEM217	6	1	0	3	6	1	0	0	0	102	0
TBC1D22B	406	378	320	149	78	284	129	116	123	155	74
LOC109499653	2	2	0	1	0	0	0	0	0	5	0
RNF8	736	1006	848	460	179	703	190	148	302	141	129
CMTR1	1895	2617	1728	830	478	1813	1452	1986	1796	446	1039
CCDC167	144	167	199	79	27	124	72	130	118	42	101
MDGA1	86	55	48	22	34	24	46	26	105	169	64
LOC111560461	28	14	36	20	10	16	7	6	10	26	5
ZFAND3	5421	4866	6351	3122	1394	5038	2413	2810	3175	198	2015
BTBD9	594	508	548	441	195	339	377	552	573	198	380
LOC111560462	17	10	16	25	11	9	0	3	2	43	0
