genes	4438	4460	4474	4501	4510	4520	DC1MINUS	DC2MINUES	DC2PLUS	DC4MINUS	DC4PLUS	MischiefMinus	MischiefPlus	X2654MINUS	X2654PLUS
SYS1	371	305	391	227	78	265	523	584	563	635	758	71	97	555	654
LOC111559768	25	32	19	6	11	17	191	226	173	823	1223	19	24	811	908
TP53TG5	35	11	34	18	25	21	99	134	93	155	154	89	129	165	172
SDC4	38	35	37	22	22	30	656	833	814	420	509	199	208	850	878
RBPJL	20	18	8	6	17	10	16	47	29	3	5	118	140	17	21
MATN4	2	7	0	0	8	3	48	442	385	8	3	96	114	148	170
LOC109498553	1	1	0	2	8	0	0	0	1	0	0	31	40	0	0
SLPI	1	3	1	0	4	0	0	0	0	0	0	42	33	0	0
LOC101089181	3	1	5	0	1	1	0	0	0	0	0	61	53	0	0
LOC102901520	2	0	1	2	6	0	0	0	0	0	1	53	65	0	0
PI3	0	1	0	0	3	0	127	1356	1315	96	115	34	47	243	296
WFDC5	0	1	1	3	5	0	0	0	0	0	0	24	35	0	0
KCNS1	4	0	6	1	4	1	0	2	2	0	0	48	54	0	0
STK4	12950	12812	11420	4942	2008	9210	471	638	593	518	676	604	418	309	478
TOMM34	218	184	150	67	36	119	35	34	28	23	35	47	41	27	29
PABPC1L	16	13	14	5	13	7	5	0	4	4	1	101	103	4	12
YWHAB	5022	3960	5796	3104	1254	3902	4178	5918	5083	5814	7309	703	383	4254	5316
LOC109497982	32	8	31	40	14	11	4	2	3	0	2	11	12	1	2
LOC102901810	17	30	21	8	10	4	29	47	26	37	38	79	97	55	69
RIMS4	613	636	522	116	81	428	73	120	120	74	51	138	176	129	131
KCNK15	5	2	0	1	3	2	119	430	403	142	129	13	19	232	217
WISP2	3	3	2	1	12	0	1121	5227	4603	242	285	39	52	2058	2040
LOC109497984	8	6	5	7	6	2	52	42	35	16	23	43	51	58	69
LOC102902031	28	26	18	17	6	14	58	46	32	26	24	63	55	48	41
ADA	557	385	456	366	100	329	709	456	390	382	400	118	122	460	423
PKIG	2	1	2	2	11	4	99	139	151	102	115	100	91	201	223
SERINC3	2183	2812	2239	1132	445	1939	6647	8633	7175	4903	5878	130	165	6466	7693
TTPAL	1608	1116	1348	1088	354	1211	3709	4940	4186	3589	4724	215	196	4909	5778
LOC109497985	25	9	14	11	8	12	17	11	6	6	6	21	27	11	26
HNF4A	6	1	3	5	14	2	1	0	2	0	0	155	198	0	0
LOC109497987	4	1	4	3	14	1	0	0	0	0	0	117	131	0	0
R3HDML	2	5	3	2	13	2	0	0	0	0	2	59	68	0	0
FITM2	92	57	67	50	22	47	538	490	437	471	701	81	112	429	437
GDAP1L1	65	98	71	43	29	62	99	134	124	72	91	94	108	127	137
OSER1	730	587	724	493	132	555	1039	1268	1078	1136	1506	125	103	704	898
JPH2	2	1	0	0	3	1	45	112	73	173	190	78	82	113	169
LOC109497988	7	0	1	1	19	5	0	0	0	1	0	53	35	2	3
TOX2	40	17	39	28	20	25	1	1	3	1	0	177	232	0	0
LOC111559769	15	9	10	25	22	13	0	0	0	0	0	54	74	1	0
GTSF1L	2	0	6	5	5	2	0	0	0	0	0	46	75	0	0
LOC111559965	0	2	0	2	1	2	0	0	0	0	0	19	19	0	0
MYBL2	223	140	244	273	69	166	49	2	4	31	75	463	342	9	1
IFT52	677	580	598	374	112	428	1846	2155	1732	2169	2774	122	155	1421	1881
SGK2	7	8	7	12	12	4	2	2	1	1	0	136	176	0	0
L3MBTL1	146	99	140	81	34	74	70	60	40	63	76	224	212	25	53
SRSF6	7059	5669	6598	3480	1314	4772	4408	3912	3212	4622	5859	364	231	2395	3326
LOC102899405	11	19	15	13	22	9	3	1	3	2	0	138	187	2	0
LOC109497991	2	3	4	6	9	1	0	0	0	1	0	123	166	0	0
PTPRT	26	10	10	13	33	11	5	0	2	0	0	376	448	0	2
LOC109497993	0	0	0	3	4	1	0	0	0	0	0	45	61	0	0
LOC109497992	2	1	1	3	14	0	0	0	0	0	0	18	33	0	0
LOC111559971	0	0	1	0	1	0	0	0	0	0	0	4	7	0	0
LOC111559770	7	4	4	4	7	8	3	0	0	1	2	47	53	0	0
CHD6	1924	1581	1606	1169	514	1040	711	841	645	962	1289	751	739	618	701
LOC109497996	2	0	1	3	3	2	0	0	0	1	0	2	3	0	0
LOC109497997	0	1	3	1	3	0	0	0	0	0	1	57	63	0	1
EMILIN3	22	6	17	13	24	14	48	64	61	36	53	56	66	39	40
LPIN3	88	75	108	45	42	67	301	310	266	269	298	245	238	205	232
ZHX3	281	205	240	91	63	131	742	856	704	900	1085	206	253	568	689
PLCG1	5586	4633	4196	1269	630	3213	2008	2705	2315	2672	3039	1203	839	1162	1454
LOC109497999	5	2	3	3	13	5	0	0	1	0	2	90	84	0	0
TOP1	2107	2178	2087	1375	548	1488	1120	1225	952	1389	1705	762	548	736	1008
LOC109498555	1	1	0	2	2	0	0	0	0	0	0	30	34	0	0
LOC109498556	0	0	1	0	5	0	0	0	0	0	0	15	4	0	0
MAFB	1016	487	1410	803	395	741	106	217	179	74	122	37	43	75	79
LOC109498000	12	0	2	1	5	2	0	1	2	1	1	15	26	0	0
LOC109498001	6	13	7	3	1	3	0	0	0	0	0	28	20	0	0
LOC102899964	2	2	2	1	7	0	0	6	7	0	0	60	76	5	6
LOC111559771	8	15	17	6	10	12	0	1	0	1	0	7	15	0	0
LOC109498003	0	1	1	2	4	1	0	0	0	0	0	72	62	0	0
LOC109498557	2	0	0	1	1	0	0	0	0	0	0	18	40	0	0
LOC102899995	0	0	0	3	5	1	0	0	0	0	0	23	14	0	0
LOC111559974	2	0	0	0	3	1	0	0	0	0	0	3	1	0	0
LOC109498559	0	1	0	2	5	0	0	0	0	0	0	24	16	0	0
DHX35	403	310	369	172	90	280	366	394	303	349	458	143	160	185	247
FAM83D	110	80	96	42	15	65	19	13	15	31	29	56	31	12	23
PPP1R16B	1643	1707	1410	873	318	1359	20	32	32	28	40	454	372	46	44
LOC109498006	47	17	23	44	17	22	0	0	0	0	0	28	36	0	0
ACTR5	337	305	283	169	95	268	147	143	131	204	263	106	102	121	114
SLC32A1	0	2	2	2	9	4	0	0	0	0	0	37	65	0	0
ARHGAP40	1	3	2	3	6	0	1	0	0	0	0	60	70	0	0
ADIG	18	17	16	12	11	8	4	1	1	5	5	49	75	6	3
RALGAPB	2624	2193	2181	1951	721	1689	1975	2078	1690	2216	3148	533	445	1286	1425
LOC109498010	37	23	28	38	19	18	2	1	1	4	5	11	18	0	0
LOC111559951	58	25	11	34	53	95	12	40	17	10	14	11	13	5	8
LOC111559953	14	7	9	9	4	5	2	3	2	1	3	13	15	4	2
LOC111559950	316	217	241	163	99	419	46	62	61	84	88	24	16	23	37
LOC111559949	68	58	79	62	21	76	8	5	5	10	15	6	12	0	2
LOC111559952	13	15	8	9	5	9	3	4	0	1	4	4	11	0	2
LOC109498011	8	3	9	6	14	5	0	2	1	0	2	135	131	0	0
LOC109498560	0	0	0	1	0	0	0	0	0	0	0	12	15	0	0
LOC101097963	2	1	1	1	10	0	0	0	0	0	0	94	134	0	0
BPI	237	124	375	176	70	113	0	0	0	0	0	100	106	1	0
KIAA1755	23	23	26	24	21	22	3	5	1	0	0	130	183	1	3
TGM2	295	480	272	238	65	368	338	786	734	1838	2102	123	174	185	210
LOC109498014	5	2	3	6	13	3	2	2	1	1	0	34	39	0	0
RPRD1B	615	525	514	306	149	476	490	474	402	507	630	128	125	267	343
TTI1	566	439	473	316	108	323	337	379	349	445	507	233	238	335	324
VSTM2L	2	3	2	1	8	2	1	4	5	1	1	24	36	2	0
CTNNBL1	796	707	752	439	173	595	842	1074	874	894	1169	492	412	629	758
LOC111559772	25	22	23	49	17	9	4	1	0	1	7	75	47	4	4
BLCAP	775	560	623	434	154	499	526	590	561	667	846	151	124	398	471
NNAT	69	27	42	41	21	47	21	33	19	17	33	27	25	11	12
SRC	424	1083	593	311	150	612	1129	1939	1777	1866	2133	212	246	1114	1224
LOC111559773	6	1	1	5	0	0	1	1	3	1	0	14	18	0	0
MANBAL	227	250	235	217	53	189	583	630	512	907	1031	73	85	427	516
GHRH	0	0	2	2	2	0	1	0	0	0	0	25	19	0	0
RPN2	2678	3079	3164	1592	551	2319	8554	8009	6805	8573	10904	263	213	6376	7756
MROH8	94	79	67	44	28	50	37	15	15	22	28	133	172	7	12
LOC109498020	0	0	1	1	1	0	0	0	2	0	1	18	2	0	0
RBL1	1591	1587	1495	750	307	1125	211	160	111	390	441	234	184	90	120
LOC111559774	20	25	14	14	7	11	2	5	1	1	2	40	85	0	0
SAMHD1	6828	5926	7201	2893	1678	4733	310	368	312	367	430	437	336	267	320
TLDC2	37	47	49	36	37	35	0	2	1	1	1	147	181	0	1
SOGA1	101	117	117	116	81	91	263	291	211	391	410	494	567	138	155
LOC102899167	7	4	7	7	3	6	3	13	6	8	11	2	5	0	6
DSN1	35	36	50	33	21	39	57	36	13	62	58	132	146	7	9
NDRG3	1205	1359	1334	567	227	982	1716	2019	1653	2038	2528	183	180	1673	2169
SLA2	72	65	98	35	28	43	6	10	7	13	16	173	174	5	7
LOC102899611	759	905	899	438	198	625	2085	2360	1829	2148	2918	159	91	1703	2127
TGIF2	380	379	290	209	78	317	160	89	77	190	222	143	130	69	95
LOC109498511	9	19	3	2	2	4	0	1	2	3	6	18	22	0	2
MYL9	18462	15933	23271	26658	7734	17078	8470	6887	6058	14509	23248	88	115	19770	17595
DLGAP4	1267	1270	1175	1530	569	1066	1097	1309	1120	1479	1775	305	350	1095	1403
LOC109498023	8	12	3	2	3	8	10	7	2	0	4	18	26	3	5
LOC109498021	3	1	1	1	6	0	0	0	2	1	2	18	38	0	1
LOC109498022	5	1	3	0	14	5	0	0	0	1	0	145	164	0	0
AAR2	352	345	392	204	88	309	539	569	524	556	713	134	104	360	483
EPB41L1	17	11	30	19	38	21	263	385	289	421	557	252	332	272	295
CNBD2	75	58	57	37	29	35	18	22	13	15	15	227	218	14	20
SCAND1	529	653	594	329	140	485	472	554	558	694	720	50	36	447	511
PHF20	3996	3893	3790	2215	848	2606	1724	2439	1873	2049	2790	246	330	1219	1412
LOC111559938	4	3	2	3	2	1	0	1	0	1	0	4	0	0	1
LOC111559913	3	5	2	1	4	0	0	0	0	0	1	4	1	0	0
LOC111559982	6	2	8	8	2	0	4	2	0	1	0	28	29	0	0
LOC111559905	17	6	9	7	5	3	0	1	0	0	0	3	0	0	0
RBM39	11050	10371	9969	4891	1788	7515	5069	5091	3775	5635	7061	630	415	2422	3018
ROMO1	219	228	208	114	44	188	883	1102	973	1201	1367	19	24	740	898
NFS1	454	417	454	249	91	292	434	517	446	577	684	143	143	315	375
LOC101100631	4101	3330	3598	2438	903	2747	2874	3234	2747	3206	3950	528	455	2010	2245
SPAG4	28	6	8	8	19	14	5	7	3	7	11	76	92	3	4
FER1L4	41	15	30	25	54	17	12	13	9	16	15	507	470	16	11
ERGIC3	866	886	992	513	185	782	2040	2127	1816	1628	1955	147	126	1786	1987
CA3H20orf173	11	14	11	15	6	7	23	18	14	22	38	114	124	6	11
CEP250	1217	1009	1004	478	238	792	600	567	464	627	692	716	647	335	382
GDF5	2	4	2	1	10	2	0	2	1	0	0	88	152	0	0
LOC101081793	397	379	423	269	102	297	447	548	412	502	676	147	112	325	374
FAM83C	19	12	14	11	15	10	6	5	4	5	6	108	103	0	9
EIF6	1034	1214	1111	561	218	861	1210	1247	1036	1492	1853	166	140	822	885
LOC109498025	488	483	558	300	117	455	160	159	179	197	236	35	42	148	206
MMP24	12	17	10	14	13	11	20	19	15	21	16	124	191	20	32
EDEM2	744	777	797	434	194	557	767	927	858	813	1038	133	185	978	1124
PROCR	3	4	0	2	3	0	151	149	177	163	209	66	62	171	206
TRPC4AP	1937	1852	1869	1100	410	1461	2779	3308	2705	3217	3903	289	213	2619	2969
MYH7B	175	153	123	68	64	129	58	43	45	44	39	307	314	35	27
LOC105260418	245	103	247	809	260	1038	977	1978	1574	928	1206	282	191	1316	1656
GSS	354	264	293	215	107	189	1166	1589	1365	1293	1613	173	195	1167	1192
ACSS2	2172	1401	2150	1207	611	1595	2021	2253	2064	2707	3583	386	334	2412	2669
GGT7	216	275	209	107	67	152	1000	683	601	938	1277	133	184	754	630
NCOA6	648	418	550	817	291	351	158	128	86	168	209	513	454	104	98
TP53INP2	74	46	72	69	53	58	197	180	155	245	321	225	264	246	267
PIGU	153	173	137	65	35	106	211	223	194	262	356	156	178	140	192
MAP1LC3A	481	174	249	98	180	229	913	941	819	1279	1450	16	13	877	1161
DYNLRB1	1177	1041	1279	625	347	894	2462	2569	2202	3180	3736	265	159	1950	2380
ITCH	8377	7477	7558	4822	1501	6356	3632	4188	3343	4756	6317	307	262	2576	3204
LOC109498561	0	2	0	1	1	0	0	0	0	1	0	10	11	0	1
LOC111559930	0	0	0	0	0	0	0	0	0	0	0	11	13	0	0
AHCY	1932	1733	2057	1289	499	1780	803	994	877	1067	1528	191	144	605	738
ASIP	1	0	2	1	7	1	3	26	20	1	0	47	61	0	0
LOC111560009	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
LOC111559699	2	5	0	7	1	0	0	2	0	0	0	16	33	0	0
EIF2S2	1742	1500	1729	960	331	1130	6183	6105	4752	7661	10017	495	359	3767	4814
RALY	2305	1980	2360	1574	509	1674	1067	1180	936	1939	2386	504	415	754	857
LOC111559778	5	2	6	12	12	5	2	0	0	4	1	59	100	0	0
CHMP4B	4061	3687	4660	2938	1037	3555	2433	2861	2466	3093	4019	371	226	1921	2346
ZNF341	548	682	536	360	134	433	215	166	153	230	263	193	191	155	140
PXMP4	212	139	165	141	68	120	280	269	231	348	468	162	178	238	265
LOC111559916	0	0	1	0	0	0	1	0	0	0	0	4	1	0	1
E2F1	22	27	42	23	10	21	25	8	4	29	30	77	59	10	14
NECAB3	5	5	2	5	11	5	71	101	105	75	82	85	79	53	64
ACTL10	3	1	0	0	9	1	6	7	5	10	9	41	68	9	14
CA3H20orf144	0	0	0	0	3	0	3	4	0	5	2	13	13	3	0
CBFA2T2	319	297	276	163	103	188	492	572	497	529	742	240	310	262	280
SNTA1	69	19	20	11	25	13	882	1218	1014	1302	1505	90	145	1152	1203
CDK5RAP1	531	556	501	290	127	390	356	358	297	391	536	135	143	201	305
LOC111559968	0	0	0	4	1	1	1	0	0	0	0	5	5	0	1
LOC105260421	14	15	22	11	16	9	5	5	1	8	1	136	217	5	2
LOC101099199	5	3	5	12	17	9	0	0	3	0	0	112	105	2	3
BPIFB1	10	8	8	18	24	3	0	0	1	1	0	178	215	0	0
BPIFA1	3	2	1	8	7	3	0	0	0	0	0	119	95	0	0
BPIFA3	3	4	6	1	4	5	0	0	0	0	0	28	29	0	0
LOC111559779	17	48	29	21	12	18	0	3	1	3	0	75	87	0	0
LOC100652387	1	4	5	3	11	4	0	0	0	0	1	22	16	0	0
BPIFA2	3	7	7	6	3	2	0	1	0	1	0	54	85	0	0
LOC111559700	0	0	0	1	11	1	0	0	0	0	0	17	25	0	0
BPIFB4	4	1	2	0	6	0	0	0	0	1	3	142	148	2	0
BPIFB3	2	5	2	2	7	2	1	0	0	0	0	93	107	0	1
BPIFB6	3	4	3	2	6	0	0	0	1	0	0	68	75	1	0
BPIFB2	4	2	1	1	5	2	0	0	0	0	0	95	102	0	0
SUN5	2	1	3	0	14	0	0	0	0	0	0	76	79	0	0
EFCAB8	240	185	202	140	90	161	436	524	416	704	918	237	237	265	382
MAPRE1	1784	1617	1909	1130	398	1563	2526	3162	2562	4169	5831	297	238	1944	2423
DNMT3B	775	204	585	846	185	488	40	44	49	92	101	240	255	20	31
COMMD7	401	313	361	546	155	353	123	183	146	258	309	100	72	112	139
LOC109498496	8	2	6	16	12	1	0	0	0	0	0	35	39	0	0
NOL4L	280	372	318	220	104	184	89	53	56	98	102	230	212	18	25
LOC109498035	55	27	32	17	22	18	8	5	3	4	5	39	28	0	4
ASXL1	1163	872	919	935	359	641	324	392	340	400	506	909	699	223	276
KIF3B	1070	1180	1069	469	172	734	2208	3386	2765	2886	4028	596	563	2095	2480
POFUT1	538	507	620	324	151	465	1311	2055	1796	1198	1674	219	226	1796	1913
PLAGL2	313	227	237	271	120	118	116	170	140	173	197	262	270	54	56
LOC111559887	20	17	14	10	1	13	7	17	22	17	23	9	12	6	1
TM9SF4	941	799	906	477	204	640	2645	2824	2473	2761	3432	237	276	1912	2150
LOC109498036	5	2	2	6	2	1	0	0	0	0	1	28	36	0	0
HCK	813	467	911	761	247	576	4	21	15	7	3	76	80	8	8
CCM2L	67	32	46	44	25	39	12	28	26	10	20	80	97	7	12
XKR7	5	1	3	6	20	4	0	2	0	0	0	142	202	0	0
PDRG1	399	522	356	206	90	335	545	701	696	678	874	95	77	667	697
TTLL9	12	10	6	3	23	7	4	5	0	3	3	135	147	1	3
TRNAK-CUU_11	0	0	0	0	4	0	0	0	0	1	0	1	3	0	0
DUSP15	2	4	2	1	3	0	2	7	4	0	0	19	21	3	1
LOC101080774	245	446	210	37	67	193	2	1	2	2	2	55	64	0	0
FOXS1	234	129	144	56	75	161	829	641	601	105	96	72	60	8	12
MYLK2	4	2	3	4	24	1	3	7	0	2	4	102	150	0	0
TPX2	296	303	341	256	119	220	203	100	81	172	246	595	414	164	142
BCL2L1	957	1878	1346	1066	264	1241	326	415	348	302	368	234	207	274	267
LOC109498037	9	4	6	8	8	3	8	2	5	4	5	47	67	2	4
LOC101096643	1	0	2	1	3	0	78	31	40	68	89	62	84	73	117
ID1	2	1	1	0	2	0	1686	1635	1262	729	787	37	42	813	1085
LOC105260422	220	125	176	100	48	117	217	235	169	234	269	159	150	157	213
HM13	1051	1159	1194	546	248	861	2607	2758	2424	2901	3456	182	157	2425	3061
REM1	3	5	6	7	12	3	1	4	3	1	1	40	54	0	0
DEFB124	0	0	0	0	1	0	0	0	0	0	0	28	25	0	0
DEFB123	0	1	0	0	2	0	0	0	0	0	0	7	19	0	0
LOC101087728	0	1	0	1	0	0	0	0	0	0	0	9	16	0	0
DEFB121	1	0	0	0	10	1	1	0	0	0	0	34	62	0	0
LOC101081718	0	0	0	2	2	0	0	0	0	0	0	37	55	0	0
LOC109498512	1	0	0	0	1	1	0	0	0	0	0	7	6	0	0
DEFB116	2	0	0	1	19	1	0	0	0	0	0	75	71	0	0
LOC109498039	0	1	0	2	1	0	0	0	0	0	0	21	26	0	0
LOC111559915	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0
DEFB125	1	1	0	1	0	2	0	0	0	0	0	29	32	0	0
DEFB127	0	0	0	0	1	0	0	0	0	0	0	10	14	0	0
DEFB128	0	0	2	1	1	0	0	0	0	0	0	32	52	0	0
DEFB129	0	2	1	1	8	2	0	0	0	0	0	46	72	0	0
DEFB132	0	0	0	0	0	1	0	0	0	0	0	38	45	0	0
CA3H20orf96	15	2	4	4	22	6	23	9	8	27	23	72	105	11	26
ZCCHC3	581	565	493	222	95	442	265	337	284	379	453	112	123	120	142
LOC109498041	10	5	5	8	5	4	4	3	1	6	5	37	22	3	1
SOX12	168	125	148	144	48	81	74	76	78	198	231	138	140	46	51
NRSN2	4	2	1	1	7	1	0	0	0	0	2	37	42	0	0
LOC109498042	1	4	0	4	0	2	0	0	0	0	0	19	24	0	0
TRIB3	60	50	39	13	17	26	2101	2015	1883	2640	2810	73	65	888	1081
RBCK1	1123	987	1274	632	294	1077	1152	1447	1311	1468	1675	95	71	1066	1252
TBC1D20	953	890	883	392	190	668	3291	2953	2891	3910	4361	140	151	2091	2425
LOC102902209	127	57	88	95	34	69	72	50	44	69	82	41	37	27	53
CSNK2A1	2838	2614	2408	1897	544	1911	3085	3040	2556	3802	4716	323	224	2294	2742
TCF15	2	1	1	1	3	3	2	2	5	7	7	22	19	1	2
LOC111559942	0	0	0	0	0	0	0	0	0	0	0	30	17	0	0
SRXN1	41	29	41	28	14	54	2165	1553	1331	2310	2916	42	32	1180	1548
LOC111559782	24	61	39	21	19	54	31	28	22	32	53	62	63	19	22
SCRT2	3	1	1	4	14	2	4	1	2	2	6	51	62	0	0
SLC52A3	3	1	0	5	16	3	2	3	2	3	2	47	55	2	2
FAM110A	132	133	116	47	43	138	37	53	54	81	100	98	85	31	30
ANGPT4	112	131	136	65	45	58	60	193	156	62	53	245	244	60	75
RSPO4	2	2	2	1	6	1	0	0	1	0	0	68	52	0	0
LOC109498563	0	0	0	0	0	2	0	0	1	0	0	5	4	0	0
LOC109498564	0	0	1	0	0	0	0	0	0	0	0	16	16	0	0
LOC109498565	0	0	1	1	5	0	0	0	0	0	0	19	16	0	0
PSMF1	579	627	663	452	157	473	890	1131	984	1315	1482	105	116	862	977
LOC109498043	3	0	4	5	7	3	0	0	0	4	6	37	47	1	0
TMEM74B	1	3	4	1	2	2	0	1	0	3	2	29	40	1	1
CA3H20orf202	2	2	1	3	11	1	0	0	0	0	0	43	51	0	0
RAD21L1	6	1	3	1	13	3	3	8	2	10	5	55	100	4	11
LOC109498044	1	0	0	0	0	0	0	0	0	0	0	4	2	0	0
SNPH	21	35	41	10	17	16	610	804	697	640	796	113	105	436	636
SDCBP2	19	19	27	17	22	18	39	20	21	20	37	70	69	14	18
LOC111559783	15	4	13	11	7	9	2	5	5	2	2	43	64	3	2
TRNAK-CUU_12	2	0	1	0	0	0	0	0	1	0	0	28	33	0	0
FKBP1A	495	292	433	370	124	298	1866	1822	1574	2837	4158	141	99	2038	2419
LOC102902056	9	5	14	11	5	12	38	3	4	2	4	28	25	4	14
LOC111559784	1	3	3	1	4	0	1	1	0	4	6	0	5	4	0
NSFL1C	632	630	651	357	132	492	1004	972	930	1188	1376	213	181	674	807
SIRPB2	21	16	12	11	12	23	0	0	0	0	0	45	30	0	0
LOC111559785	0	1	1	2	5	0	0	1	0	0	0	21	24	0	0
LOC101086051	4	1	1	4	5	7	0	0	0	0	0	40	48	0	0
LOC101085793	2	6	5	3	0	3	0	1	0	0	1	14	19	0	1
LOC109498048	23	11	15	4	12	11	0	0	0	0	0	40	38	0	0
LOC105259814	25	9	19	17	9	12	0	0	0	2	0	25	22	0	3
LOC109496772	7	1	6	3	14	3	1	0	0	0	0	94	122	0	0
LOC109498046	56	25	46	32	20	29	58	74	88	53	68	54	64	69	77
LOC109498497	2	1	1	2	2	1	1	0	0	0	0	19	12	0	1
LOC101085539	39	43	36	25	18	11	1	0	1	1	0	142	150	0	0
LOC101085033	1	2	6	2	11	3	0	0	0	0	1	105	96	0	0
LOC109498049	1	1	0	4	1	1	0	0	0	0	0	20	19	0	0
LOC109498051	0	1	2	0	5	0	0	0	0	0	0	10	11	0	0
LOC109498050	12	23	28	11	9	12	1	0	0	0	0	32	36	0	0
LOC109498052	2	0	0	4	2	0	0	0	0	0	0	8	7	0	0
SIRPA	1507	739	1699	709	424	871	1702	2639	2263	1902	2339	159	172	2003	2120
PDYN	4	2	0	3	6	0	0	0	0	1	1	72	91	0	0
LOC109498053	1	0	1	1	2	1	0	1	0	0	3	28	30	2	0
STK35	276	273	283	131	71	212	121	137	138	167	166	132	140	96	91
TGM3	2	2	7	5	9	1	1	11	7	30	24	76	98	0	1
TGM6	14	4	12	11	22	4	1	0	1	1	1	149	178	0	3
SNRPB	1526	1426	1582	886	334	1456	1608	1804	1568	2087	2306	216	140	1243	1339
LOC105260424	1	0	2	1	8	0	0	1	0	0	1	22	43	1	0
LOC102901908	1	0	0	1	6	1	1	2	0	1	1	21	16	0	1
TMC2	4	0	4	10	17	4	0	0	0	0	0	180	209	0	0
NOP56	1035	894	853	665	185	691	960	1427	1139	1642	2039	398	199	616	657
LOC111559983	38	33	19	21	9	23	14	5	4	11	8	6	5	1	4
LOC111559973	33	29	21	24	6	13	3	2	8	6	9	11	2	1	0
LOC111559981	32	25	23	6	9	16	12	7	4	15	27	0	4	7	14
LOC111559959	19	27	15	9	4	9	5	4	2	7	7	58	7	1	2
LOC111559958	26	9	19	2	4	5	3	6	1	3	4	7	6	1	0
IDH3B	860	792	851	444	159	620	1021	1063	926	1165	1318	174	156	695	787
LOC109498056	0	0	1	0	0	0	0	0	0	0	0	60	65	2	2
LOC111559701	1	0	1	0	3	1	0	0	0	0	0	6	15	0	0
LOC109498057	3	2	1	0	14	0	0	1	3	1	0	53	80	0	3
EBF4	6	1	9	7	4	0	156	171	152	134	164	45	57	145	173
CPXM1	8	26	9	3	15	15	398	855	772	162	242	91	92	496	505
LOC109498059	0	0	0	2	0	0	0	0	0	0	0	8	11	0	0
CA3H20orf141	0	2	0	0	3	1	0	0	0	0	0	3	3	3	2
TMEM239	2	1	1	0	3	1	0	0	1	0	0	11	9	0	0
PCED1A	464	477	371	177	87	320	400	406	473	488	512	63	61	316	421
VPS16	2083	1809	1950	967	408	1355	1369	1596	1515	1341	1557	345	286	948	1012
PTPRA	1426	1249	1301	835	346	833	2771	2967	2550	3169	4116	345	383	2003	2359
LOC109498061	23	8	19	22	13	8	6	1	1	4	2	18	34	2	1
GNRH2	6	0	5	7	13	5	9	5	0	13	11	94	113	2	3
MRPS26	473	414	384	264	88	324	465	557	507	653	722	54	55	394	498
OXT	0	0	0	0	2	0	0	0	0	0	0	4	5	0	0
AVP	0	0	0	2	3	1	0	0	0	0	0	24	27	0	0
UBOX5	321	299	303	169	73	251	246	233	247	306	371	99	61	207	200
FASTKD5	559	445	533	303	107	409	447	607	516	503	618	57	103	415	545
LZTS3	1757	1195	1539	1545	435	1359	659	639	604	802	953	84	111	577	690
LOC102900957	70	27	52	50	11	41	1	1	1	1	2	15	14	4	3
DDRGK1	2002	1739	1930	1225	423	1730	1223	1232	1036	1120	1514	275	253	865	898
ITPA	754	671	704	402	144	593	1099	1298	1094	1130	1372	127	90	928	975
SLC4A11	131	195	162	76	41	74	30	11	5	26	12	149	114	10	17
CA3H20orf194	331	247	311	207	103	156	690	756	667	841	1005	350	359	1371	1712
LOC109498062	3	1	0	2	2	1	4	3	0	2	1	4	10	4	5
LOC109498063	1	1	1	3	2	1	4	0	3	3	2	31	30	1	4
LOC111559786	11	9	15	7	8	7	5	7	5	8	18	117	100	3	7
ATRN	715	640	729	480	259	458	1649	2051	1704	1668	1896	339	418	1040	1246
GFRA4	1	0	4	1	2	1	1	0	0	0	0	29	15	0	0
ADAM33	4	18	9	6	19	2	329	488	422	243	260	158	179	2666	3179
SIGLEC1	257	493	564	59	368	473	1	0	0	0	0	160	194	6	7
LOC111559987	0	0	1	1	1	0	0	0	0	0	0	6	5	0	0
HSPA12B	92	52	129	44	55	59	5	1	0	3	5	85	61	1	0
CA3H20orf27	406	249	414	343	88	288	294	309	264	353	475	14	34	191	181
SPEF1	40	32	24	19	14	37	12	11	4	10	19	122	124	6	7
CENPB	958	1018	1095	348	208	999	1488	1650	1558	1913	2195	147	126	1302	1600
CDC25B	3216	3206	2566	1682	502	1686	95	70	42	99	126	623	518	48	86
AP5S1	85	98	99	55	24	59	181	201	223	234	291	82	82	152	171
MAVS	1289	1138	1255	676	240	749	1416	1683	1488	1623	1762	223	207	1209	1363
LOC109498514	87	61	86	64	30	58	35	27	28	40	49	53	28	12	39
LOC101092510	742	540	736	449	179	550	342	376	252	378	530	124	85	254	335
RNF24	310	335	284	219	126	196	252	299	237	448	647	112	116	137	167
LOC109498568	0	1	1	1	1	1	7	1	2	4	1	16	39	3	3
SMOX	7116	14965	11506	7162	2155	9753	326	262	241	463	577	175	219	147	132
ADRA1D	4	5	2	3	13	1	24	217	186	36	31	50	49	47	73
LOC109498065	6	10	9	9	8	3	0	0	0	1	0	46	57	0	2
LOC109498067	0	0	0	1	5	0	0	2	0	0	0	24	25	0	0
LOC109498068	0	0	2	1	4	0	0	0	0	0	1	47	57	0	0
PRNP	3688	5823	4053	1873	1047	4032	6412	6645	5858	5066	6677	66	85	9674	12054
PRND	1	0	0	1	1	0	0	0	0	2	0	33	51	9	1
