N_unmapped	4438_S1_L002_ReadsPerGene.out.tab	4460_S2_L002_ReadsPerGene.out.tab	4474_S3_L002_ReadsPerGene.out.tab	4501_S4_L002_ReadsPerGene.out.tab	4510_S5_L002_ReadsPerGene.out.tab	4520_S6_L002_ReadsPerGene.out.tab	DC1MINUS_S7_L002_ReadsPerGene.out.tab	DC2MINUES_S9_L002_ReadsPerGene.out.tab	DC2PLUS_S10_L002_ReadsPerGene.out.tab	DC2Pool_NoIndex_L001_ReadsPerGene.out.tab	DC3Pool_NoIndex_L001_ReadsPerGene.out.tab	DC4MINUS_S11_L002_ReadsPerGene.out.tab	DC4PLUS_S12_L002_ReadsPerGene.out.tab	Mischief_Minus_S12_L002_ReadsPerGene.out.tab	Mischief_Plus_S11_L002_ReadsPerGene.out.tab	X2654MINUS_S13_L002_ReadsPerGene.out.tab	X2654PLUS_S14_L002_ReadsPerGene.out.tab
LOC109500047	338	264	283	309	73	225	13	6	1	0	0	3	5	33	53	1	1
FGFR1OP	6	5	8	2	3	6	2	0	0	0	1	0	1	2	2	1	0
LOC111560554	904	801	894	697	262	759	179	197	145	2	1	168	267	83	73	121	190
CCR6	77	33	75	53	32	66	4	2	0	10	12	2	2	69	48	5	6
GPR31	425	296	388	349	80	360	0	1	2	1	0	1	0	127	102	1	5
LOC102899376	4	1	1	0	4	1	1	0	0	0	1	0	0	5	6	0	0
TTLL2	0	1	0	1	1	1	0	0	0	3	0	1	0	14	20	0	0
LOC111560555	2	2	3	2	0	1	0	0	0	2	1	0	0	22	35	0	0
UNC93A	7	0	7	2	31	1	0	0	0	23	34	0	1	108	148	0	0
LOC109500049	7	1	2	1	13	4	0	1	0	100	149	0	0	59	63	0	0
AFDN	3	0	1	3	8	2	21	10	17	20	77	17	21	60	65	95	98
KIF25	12	15	16	16	37	8	1996	2820	2327	14	18	2955	3669	296	332	3405	3986
FRMD1	5	1	4	3	14	0	1	0	1	0	1	0	1	56	47	0	0
LOC109500052	9	11	4	10	33	10	2	4	3	1	0	1	1	80	64	12	10
LOC105260599	1	0	2	2	6	0	1	0	0	0	0	0	0	39	37	0	1
LOC102899676	1	0	2	0	3	1	0	0	0	0	0	0	0	15	14	0	0
LOC111560556	0	1	1	0	3	3	0	0	0	3	1	0	0	3	7	0	0
DACT2	7	1	5	2	17	0	0	0	0	249	59	0	0	46	42	0	0
SMOC2	8	2	2	2	18	2	0	0	1	45	43	0	1	50	32	0	1
LOC109500055	3	3	1	1	16	1	274	1329	1096	34	46	626	850	43	54	551	608
LOC109500236	1	0	0	2	10	2	1	5	0	2	61	0	1	18	25	0	1
LOC102899702	0	3	0	2	4	0	0	1	0	2	1	5	5	8	7	0	0
LOC109500057	1	0	0	1	2	0	1	3	5	1	2	2	5	4	4	3	1
THBS2	2	2	1	3	16	2	0	0	0	1	1	0	0	26	25	0	0
WDR27	7	9	5	16	41	7	23752	12701	11083	15	36	19165	20274	152	140	12538	14236
LOC105260598	42	18	34	26	36	8	148	97	96	24	88	105	144	168	182	74	113
LOC111560558	1	2	0	2	11	1	7	6	3	1	0	5	9	22	27	8	12
LOC109500058	4	8	2	3	21	3	9	12	8	22	27	8	15	81	90	13	9
CB2H6orf120	0	1	0	1	1	0	0	0	0	0	0	0	0	3	3	0	0
PHF10	1008	1015	1039	553	226	758	1368	1442	1283	1	1	1599	1985	150	133	1132	1512
LOC111560559	892	610	801	420	132	476	404	258	209	1	0	512	626	185	132	218	267
LOC109500060	10	2	3	4	3	0	1	2	0	0	0	0	0	14	10	0	0
TCTE3	4	0	0	1	0	0	0	0	0	0	1	1	0	9	25	0	0
ERMARD	18	7	4	9	6	14	7	8	11	0	1	32	34	31	49	9	10
LOC109500061	821	689	850	544	286	615	441	415	338	34	19	418	560	167	209	258	357
LOC109500064	0	0	1	0	3	2	0	0	0	23	22	0	0	56	38	0	0
LOC109500066	2	1	1	3	10	3	5	2	2	0	0	1	3	7	12	1	3
DLL1	1	2	0	5	8	4	0	2	0	41	10	0	0	44	76	0	0
FAM120B	50	64	36	21	16	40	19	27	21	2	1	23	33	130	127	48	62
LOC109500068	1747	1590	1606	1029	398	1188	1218	1309	1054	96	71	1193	1679	370	425	1141	1539
LOC102900422	1	0	0	2	4	1	0	1	0	1	12	2	1	14	8	0	0
PSMB1	8	4	8	7	6	4	4	0	1	0	0	3	3	65	72	1	0
TBP	1571	1737	1824	993	319	1133	2525	2399	2076	13	24	2813	3756	245	195	1885	2416
PDCD2	270	218	205	167	46	168	239	270	259	59	78	269	351	80	88	166	205
TRNAP-AGG_2	761	680	687	341	139	553	1582	1543	1212	5	11	1814	2301	71	49	957	1237
TRNAP-UGG_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRNAD-GUC_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRNAG-GCC_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRNAP-AGG_3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRNAP-UGG_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRNAD-GUC_3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRNAD-GUC_4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRNAG-GCC_3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRNAP-UGG_3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRNAD-GUC_5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRNAG-GCC_4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRNAP-AGG_4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRNAP-AGG_5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRNAP-UGG_4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRNAD-GUC_6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRNAG-GCC_5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRNAP-AGG_6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC111558967	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC111558966	12	6	15	6	19	6	0	0	2	99	187	1	1	12	14	1	1
LOC111558969	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
LOC111558970	6179	4987	779	4592	1323	697	0	0	0	0	0	3	0	120	122	1	1
LOC109499612	4687	3151	4530	4425	979	4279	0	0	0	0	0	0	0	36	42	0	0
LOC111556288	38	47	59	9	6	49	16	2	0	0	0	10	5	2	2	2	6
LOC111558973	6	5	2	2	2	0	0	0	0	2	5	1	0	18	23	0	0
LOC111558974	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	0
LOC111558972	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC111558978	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0
LOC102900850	0	1	2	0	0	1	0	0	0	1	0	0	0	55	57	0	1
LOC102899189	1	1	1	0	2	0	0	0	0	2	4	0	0	55	82	0	0
LOC111558976	3	4	1	2	12	1	1	1	0	2	0	5	7	34	96	24	22
LOC111558977	0	0	0	1	4	1	1	0	1	1	0	0	0	9	10	0	0
TRNAS-GCU_7	1	0	2	3	6	1	0	1	0	6	5	0	0	24	30	0	0
TRNAT-AGU_6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRNAI-UAU_4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRNAS-GCU_8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRNAT-AGU_7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRNAI-UAU_5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRNAS-GCU_9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRNAT-AGU_8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRNAI-UAU_6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRNAS-GCU_10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRNAT-AGU_9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRNAI-UAU_7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRNAS-GCU_11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRNAT-AGU_10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRNAS-GCU_12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRNAT-AGU_11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRNAS-GCU_13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRNAT-AGU_12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRNAI-UAU_8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRNAS-GCU_14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRNAT-AGU_13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRNAI-UAU_9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC109499538	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC111556177	203	224	311	68	43	249	0	0	0	0	0	1	1	2	0	1	0
LOC109499540	10305	13522	6281	5228	2406	5813	415	186	187	1	1	305	369	273	185	119	85
LOC109499539	100	81	20	50	30	16	0	0	0	33	47	0	0	5	11	0	0
FLAI-K	63	58	24	39	18	23	0	0	0	0	1	0	0	0	0	0	0
LOC109499537	32264	40123	26621	16954	8372	26960	4622	2916	2540	1	3	1305	1738	230	142	1773	2159
LOC101089503	61	50	37	38	29	25	0	2	0	96	32	0	0	53	65	0	0
LOC101089105	0	0	0	0	4	0	0	30	54	0	1	1	1	45	57	7	10
LOC101101309	0	1	0	1	1	0	0	0	1	1	1	0	0	48	48	6	11
LOC111559001	0	0	0	0	1	0	0	0	0	1	0	0	0	1	2	1	0
TRNAP-CGG_1	68	73	140	38	35	64	169	212	158	0	0	203	205	14	16	155	217
TRNAS-GCU_15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC101086971	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC101086721	866	607	795	680	150	582	126	101	79	0	0	99	124	124	88	76	108
LOC105260537	278	212	248	134	66	239	82	46	50	0	0	78	63	25	9	33	40
LOC101088473	288	204	190	172	57	220	147	259	253	0	0	144	179	6	14	142	172
LOC105260569	1	1	2	3	7	5	8	3	3	0	1	12	16	53	65	120	174
LOC105259841	0	0	0	4	3	1	0	0	0	6	13	0	0	42	51	0	0
CHRNB4	1	0	1	0	4	0	4	3	3	1	3	2	1	42	40	3	4
CHRNA3	2	2	1	0	13	1	0	0	0	4	8	0	1	52	59	0	0
CHRNA5	2	1	1	2	8	2	0	2	1	9	4	2	2	198	173	0	3
LOC109500444	7	3	5	2	10	1	1	6	7	6	12	7	9	33	64	0	0
PSMA4	22	17	23	15	12	7	28	23	11	0	3	18	24	29	42	3	1
HYKK	1391	1400	1467	840	310	1021	1442	1834	1535	21	95	1917	2661	270	183	1072	1377
IREB2	137	117	99	47	31	73	76	76	49	0	0	79	106	55	53	69	76
LOC109500446	1504	1120	1265	930	375	945	1988	2236	1973	94	60	2736	3755	425	346	1173	1405
LOC111560764	0	2	4	1	7	1	1	10	9	2	7	1	0	28	32	0	0
CRABP1	3	2	4	3	19	1	45	79	52	1	9	39	31	69	88	33	23
WDR61	2	0	0	1	4	0	60	163	103	0	0	62	53	10	28	91	117
DNAJA4	863	810	816	346	170	592	1208	1405	1236	0	0	1389	1938	88	113	967	1192
LOC109500447	413	370	375	121	88	361	405	417	385	0	0	427	574	84	86	277	290
LOC109500448	10	11	10	3	7	8	7	5	20	1	0	14	21	29	30	5	8
LOC109500449	4	8	6	5	15	1	1	2	1	71	53	1	2	75	83	0	3
ACSBG1	2	5	4	3	7	2	0	0	0	1	1	0	0	33	32	0	0
IDH3A	12	6	8	26	25	8	2	4	0	1	3	6	4	65	88	2	1
LOC102901298	1122	940	1111	1142	242	854	1725	2020	1718	45	20	2230	2764	239	170	1800	2051
LOC101085978	14	25	22	49	11	21	7	12	12	0	1	14	8	31	26	2	7
LOC111560761	50	45	58	11	17	48	33	73	86	0	0	61	83	13	17	75	69
SH2D7	27	12	20	8	12	22	20	52	28	0	0	26	40	2	5	31	31
TBC1D2B	4	6	8	3	16	11	7	17	13	0	0	15	27	21	15	8	3
ADAMTS7	1160	1091	1128	387	262	885	2010	3411	3129	153	58	1449	1701	267	256	1441	1671
LOC109500450	273	500	403	213	108	270	164	189	192	4	11	159	168	99	107	81	87
TRNAK-CUU_30	0	4	2	1	5	1	0	1	2	1	0	0	1	22	27	0	0
MORF4L1	0	3	0	3	0	0	4	10	4	0	0	5	5	2	3	2	7
CTSH	3022	2496	2870	2457	812	2340	3481	3666	2944	1	0	3868	5376	515	317	2519	3198
RASGRF1	4926	2620	3246	2999	968	3027	1221	3161	2770	0	2	798	981	394	255	1902	2297
LOC109501086	13	12	9	7	33	5	1	0	0	7	2	0	2	106	127	0	2
ANKRD34C	2	3	2	2	10	1	2	5	6	12	3	1	1	15	20	29	31
LOC109500451	10	5	14	6	26	4	8	7	5	6	5	7	10	113	115	3	1
TMED3	0	0	2	2	3	0	1	3	6	0	4	5	4	16	31	3	0
KIAA1024	76	103	162	63	41	101	1020	1217	1193	1	2	1108	1290	33	16	1820	2204
LOC111560975	95	126	157	120	52	88	1019	1175	966	35	25	1257	1495	95	99	1309	1627
LOC109500453	0	0	1	1	1	0	0	0	0	0	0	0	0	6	2	0	0
LOC109500454	1	0	4	7	20	3	0	2	3	2	0	2	4	59	60	0	3
LOC109500452	2	2	0	0	9	2	0	1	0	2	11	0	2	15	23	0	0
LOC111560765	7	2	4	4	4	2	9	3	1	2	13	7	4	33	17	1	8
LOC109501122	2	1	1	1	8	3	1	0	0	0	1	0	0	13	10	0	0
MTHFS	2	0	0	0	9	0	1	0	0	2	33	0	0	21	44	0	1
LOC102902005	332	262	383	183	74	235	428	418	385	2	2	477	681	67	37	363	390
BCL2A1	39	32	62	29	9	31	11	27	22	9	6	11	20	33	43	1	7
LOC109500456	535	686	871	623	146	615	124	91	71	1	2	115	127	177	143	75	130
ZFAND6	118	67	132	119	65	90	3	7	3	2	0	4	1	42	41	0	0
LOC102902232	1680	1579	1369	1431	279	1195	1192	1275	1087	1	0	1142	1542	174	130	925	1107
FAH	54	32	38	23	26	22	5	9	7	2	2	7	5	59	80	5	3
LOC111560766	260	205	311	160	110	182	336	277	260	2	3	429	517	62	60	296	338
LOC111560767	9	5	9	0	6	1	3	2	1	0	0	2	2	0	3	0	3
LOC109500458	11	0	1	5	4	3	3	3	0	0	1	0	1	22	17	1	3
LOC111560762	7	9	9	5	11	4	13	6	14	0	1	6	5	42	46	3	3
ARNT2	0	0	0	1	1	0	0	0	0	0	0	0	0	2	5	0	0
LOC111560768	13	7	20	9	36	10	1508	1664	1412	12	28	1835	2012	251	225	1045	1188
LOC102902618	1	1	1	2	5	0	0	0	0	0	0	0	0	2	0	1	0
LOC109500461	3	2	1	3	3	0	0	0	0	1	1	0	0	60	48	0	0
ABHD17C	8	2	11	9	12	5	2	6	1	0	1	1	1	52	69	3	3
CEMIP	604	394	675	367	100	575	463	653	519	5	8	412	541	30	31	442	564
LOC109500462	61	38	71	34	52	72	1613	3004	2950	3	6	98	78	176	186	2475	2859
LOC102899053	39	13	47	16	6	46	18	16	8	0	0	17	11	17	18	11	4
LOC102902649	27	16	53	18	21	40	27	34	31	1	1	9	8	8	6	22	32
MESD	63	34	109	31	17	75	787	1487	1330	0	0	47	55	18	24	1076	1303
TLNRD1	901	788	886	482	221	651	2368	2497	2338	2	1	2196	2726	106	79	2090	2903
LOC111560771	223	172	228	157	85	165	265	179	155	23	28	240	300	91	49	119	139
LOC111560773	12	8	13	2	3	6	2	0	0	0	0	0	0	20	30	1	1
LOC111560772	2	1	1	0	5	0	3	0	4	1	1	0	0	44	58	1	0
CFAP161	0	0	0	1	3	1	2	0	0	1	2	1	1	28	26	0	0
IL16	1	2	5	1	9	0	10	1	0	1	2	0	1	25	19	1	1
STARD5	7661	6641	7512	3971	1685	6377	108	65	92	1	43	58	98	574	444	34	49
TMC3	219	211	349	118	62	261	139	110	120	0	0	182	219	60	32	139	188
LOC102899249	6	8	25	4	26	8	0	2	0	59	90	1	1	146	164	0	0
LOC102899277	0	2	0	1	3	0	46	310	207	1	1	66	49	17	21	35	45
LOC109500463	1	0	0	3	6	0	6	45	52	0	0	6	10	27	50	0	0
MEX3B	0	2	1	3	3	0	0	0	0	0	0	0	0	19	18	0	0
LOC109500464	29	17	24	6	5	15	80	123	83	0	0	160	145	26	22	23	24
LOC109500465	17	15	25	4	11	14	19	18	16	87	43	18	57	29	31	2	12
EFL1	4	1	9	3	7	5	4	69	44	1	5	6	5	32	35	0	3
SAXO2	878	700	689	555	187	601	945	756	722	27	19	1002	1400	175	173	610	662
ADAMTSL3	8	9	9	6	8	2	36	22	25	58	41	28	44	19	20	15	21
LOC111560763	12	5	6	8	19	4	4827	5586	5026	4	7	2480	2817	230	327	4489	4823
LOC105260609	1	0	0	0	1	0	2	0	0	0	0	0	0	0	1	0	1
LOC109500469	0	1	0	1	4	0	25	52	37	0	2	9	20	19	25	69	106
SH3GL3	0	0	0	0	1	0	0	10	3	0	0	1	2	3	4	0	2
BNC1	3	0	7	3	4	0	45	51	36	45	29	41	43	32	46	37	43
LOC109500468	4	1	4	6	18	2	13	6	4	50	77	7	7	210	222	8	7
HDGFL3	1	0	2	1	2	0	0	0	0	0	10	0	0	83	56	0	0
TM6SF1	2742	2234	2736	1544	607	2240	4649	4496	3422	0	0	5763	7763	183	119	2353	3159
LOC102899603	644	459	690	355	164	404	1029	812	770	12	20	995	1333	90	103	612	755
BTBD1	0	0	3	1	1	0	0	2	0	0	0	1	1	22	35	0	1
LOC109500471	1416	1598	1544	696	314	1197	3501	5917	4661	97	93	4050	5329	148	135	1852	2223
CB3H15orf40	122	56	89	49	16	55	80	96	68	14	38	73	97	36	12	42	55
FAM103A1	1033	861	1037	542	188	701	477	469	404	61	80	513	574	78	99	419	493
LOC111560774	492	489	479	227	105	334	504	540	403	0	0	500	589	79	46	229	341
LOC109500473	10	10	5	5	5	7	2	0	0	0	0	0	0	4	2	2	0
LOC105260608	3	2	0	2	2	1	0	3	0	0	4	0	0	14	12	0	0
HOMER2	7	9	5	9	4	6	1	3	1	0	0	1	1	40	65	3	0
WHAMM	416	167	548	198	142	219	115	198	196	1	41	155	170	229	237	135	158
FSD2	657	608	722	284	147	394	258	321	279	0	1	247	284	171	150	237	296
LOC105260607	160	182	144	105	45	124	124	73	67	15	27	90	81	164	201	32	53
LOC111561223	21	21	22	13	5	24	36	15	18	3	3	29	46	20	15	15	19
AP3B2	4	1	3	1	1	1	3	3	1	0	0	3	5	14	8	4	2
CPEB1	12	16	11	7	30	2	70	133	125	2	2	53	62	133	138	269	328
RPS17	42	14	17	13	18	13	1042	1367	1112	7	6	885	1170	139	131	716	760
PDE8A	15547	12854	16349	9055	3395	10743	13546	12966	10655	0	0	13330	16661	744	458	7796	9567
LOC109500477	366	205	554	220	108	200	1242	1477	1195	36	90	1694	2229	158	159	798	961
SLC28A1	0	0	1	1	0	0	9	16	12	0	0	4	4	29	25	0	0
ALPK3	4	4	0	6	14	0	15	37	51	8	20	22	22	146	164	19	20
ZNF592	29	27	30	21	41	22	69	22	20	16	22	64	43	337	413	45	54
LOC102901662	833	616	770	628	253	503	435	427	343	0	5	534	710	291	285	299	284
SEC11A	389	242	313	195	54	208	210	390	297	0	1	359	488	36	31	176	193
NMB	814	1179	1192	595	254	1041	2337	2247	1858	0	3	2224	2924	149	104	1660	2160
WDR73	10	11	9	3	9	10	107	68	55	0	0	428	559	24	40	14	25
LOC101087322	241	302	248	122	57	196	396	366	319	0	0	411	488	152	138	243	339
LOC102902038	194	161	177	111	50	110	287	262	212	280	143	302	364	206	240	135	149
ZSCAN2	3	1	1	0	1	2	3	3	5	1	0	2	5	19	37	2	2
ZNF774	25	39	28	17	19	29	91	108	98	74	37	190	174	75	98	53	58
IQGAP1	33	26	22	13	9	12	133	150	119	9	1	241	331	128	125	75	93
LOC109500482	14492	9874	15346	9051	3426	8939	17136	16007	13021	7	12	20000	26983	2227	1484	13163	15002
CRTC3	2	0	3	5	2	2	0	1	2	0	0	1	0	5	9	0	0
LOC109500484	668	455	592	630	237	411	465	387	315	7	13	489	734	278	266	324	336
LOC111560775	22	5	23	39	12	10	3	5	0	1	1	1	2	34	42	2	4
LOC109500483	26	20	35	30	15	13	7	12	5	58	21	4	8	70	52	3	6
BLM	1	1	0	3	4	1	0	1	0	0	0	1	0	58	65	0	1
LOC102902521	658	486	640	402	189	392	377	190	159	2	1	299	447	252	279	219	289
LOC102902492	24	20	19	14	24	9	28	9	7	2	10	21	20	100	99	13	14
FURIN	0	0	0	0	2	0	0	0	0	1	0	1	0	21	18	0	0
LOC109500486	1780	1735	1833	1475	433	1432	1613	2353	2150	1	2	1911	2157	417	329	1323	1501
FES	0	0	0	0	0	0	1	0	0	0	0	0	0	6	5	0	0
MAN2A2	1190	918	1759	797	311	888	629	609	486	0	0	683	713	107	94	446	443
LOC111560776	4404	3653	4023	1653	681	2577	2097	2906	2351	1	2	2139	2580	402	306	1987	2236
HDDC3	41	31	30	19	5	21	8	11	11	0	0	14	16	10	18	10	9
UNC45A	278	276	324	124	58	161	276	223	221	0	0	299	360	48	35	214	258
RCCD1	1156	952	1046	574	249	951	1377	1428	1429	1	4	1569	1860	295	220	1608	1787
PRC1	1152	937	1023	846	210	733	84	73	84	5	5	85	105	63	49	48	69
VPS33B	879	601	850	769	228	470	257	44	35	2	0	158	213	443	300	24	51
NGRN	660	608	575	502	143	479	246	258	235	15	13	252	335	235	250	153	194
LOC101081807	776	780	676	422	151	660	1410	1653	1397	0	2	1578	1964	113	104	1225	1410
LOC109500487	72	89	56	65	34	74	103	114	94	160	159	183	211	162	140	62	67
LOC109500488	2	0	2	1	3	1	5	0	3	0	0	3	1	2	0	0	3
GDPGP1	0	0	0	0	0	2	0	0	0	30	106	0	0	0	0	0	0
CIB1	299	167	230	165	72	173	112	101	84	18	10	114	160	103	113	88	92
SEMA4B	943	1060	1186	777	211	858	1255	1274	1160	0	0	1314	1573	182	128	1256	1392
LOC102899539	761	519	685	991	229	475	80	156	144	0	1	68	113	100	123	74	62
LOC111560777	125	22	72	45	25	26	1	1	1	8	19	0	0	70	79	0	2
IDH2	11	8	15	8	8	12	7	7	7	27	38	3	6	21	33	5	17
ZNF710	3207	4588	3642	2237	753	2742	1521	1675	1457	22	137	2529	3050	243	173	1886	2204
LOC109500490	1356	964	1215	548	325	1027	244	283	253	4	1	334	359	180	139	181	251
LOC109500489	8	11	10	7	8	2	0	1	1	0	0	2	0	11	15	0	1
LOC111560778	0	3	2	1	2	3	1	1	0	0	0	0	0	27	66	0	0
LOC102901344	7	3	1	3	5	11	44	29	30	3	4	23	30	26	27	22	27
AP3S2	9	5	11	7	12	9	1422	1552	1248	16	34	2003	2721	95	87	1474	1766
ANPEP	741	713	641	454	173	521	880	909	767	0	2	844	1150	90	79	658	691
MESP2	6	33	5	92	25	56	51	146	121	3	5	61	65	81	109	350	319
LOC109500492	0	0	0	0	3	0	3	2	6	0	1	6	9	10	17	0	5
MESP1	0	0	0	0	2	0	1	0	0	0	1	2	5	0	2	0	0
LOC102900074	1	1	1	0	2	0	13	2	6	0	0	12	18	10	20	5	3
WDR93	2	6	2	4	8	6	1	5	7	1	6	1	5	62	68	1	2
PEX11A	3	8	6	3	20	5	10	27	24	146	187	10	11	188	190	9	13
LOC102899855	50	67	32	23	15	35	81	125	119	0	1	117	107	29	31	86	88
PLIN1	5	2	5	2	3	0	2	3	1	0	0	4	3	18	29	0	1
LOC105260606	20	25	10	19	9	6	27	53	44	1	0	54	71	107	97	24	20
KIF7	1	2	0	0	9	0	1	9	7	1	1	1	3	65	78	0	0
TICRR	158	152	134	43	52	107	614	786	704	3	5	597	695	124	149	301	444
LOC109500494	146	127	136	77	59	132	84	93	87	221	204	133	147	247	249	33	41
RHCG	5	9	7	11	14	1	3	0	0	38	116	0	0	93	111	0	0
TRNAR-UCG_3	17	42	11	17	13	13	17	67	69	32	7	0	1	94	103	13	6
POLG	2	0	1	1	1	1	2	3	1	0	0	1	1	0	3	2	2
FANCI	3362	3008	2988	1523	652	2389	1123	1142	1075	2	4	1667	1791	291	255	828	1039
RLBP1	557	428	500	293	134	353	341	222	203	71	242	374	479	226	288	133	176
ABHD2	6	0	5	2	8	1	4	9	6	14	9	3	1	58	63	0	0
LOC102900374	1095	530	891	718	247	608	2409	1664	1440	11	4	2160	3019	305	315	1972	2490
MFGE8	1	1	0	0	1	0	0	0	0	1	1	0	0	32	15	0	0
HAPLN3	46	11	28	50	18	32	966	2165	1810	0	2	1065	1295	51	60	2282	2523
ACAN	17	6	10	15	14	7	254	421	361	0	1	215	258	79	74	397	499
LOC109500497	5	6	6	5	19	5	0	1	0	205	119	0	1	176	188	2	6
ISG20	38	18	34	9	14	27	0	0	0	0	0	0	0	10	10	0	0
AEN	988	1804	1187	341	225	1126	11	24	19	2	5	37	55	70	58	10	14
DET1	371	313	306	131	61	217	3133	3939	3522	1	4	3783	4263	99	100	2339	2706
MRPS11	501	413	489	264	125	345	737	683	610	129	113	825	1054	164	183	493	639
MRPL46	200	259	198	111	55	173	385	321	320	0	0	413	506	74	92	286	388
NTRK3	147	139	165	96	40	134	183	190	150	0	0	217	219	95	72	122	142
LOC109500502	13	8	16	6	66	9	49	23	16	28	107	31	18	414	509	56	41
LOC109500501	1	1	1	0	6	1	0	0	0	1	0	0	0	21	27	0	0
AGBL1	1	0	0	1	6	1	0	0	0	1	0	0	0	56	51	1	0
LOC109500503	11	5	6	5	23	4	4	0	0	177	85	4	6	303	391	0	0
LOC109500505	3	0	1	0	6	1	1	0	0	0	0	0	0	42	62	0	0
LOC109500506	1	0	1	2	7	0	1	0	0	0	0	1	2	36	43	0	0
LOC102901814	1	1	0	0	2	2	0	0	0	0	0	0	0	23	31	0	0
LOC102901855	0	0	0	0	0	0	0	0	0	0	0	0	0	13	19	0	0
LOC102901895	0	2	0	0	5	0	0	0	0	1	0	1	0	18	22	0	0
KLHL25	4	2	2	1	10	3	1	0	0	0	0	0	0	44	46	0	0
AKAP13	192	113	186	68	75	129	48	60	61	37	37	53	62	68	62	24	28
LOC111560779	15197	10590	11791	10737	4322	9555	4641	4422	3782	120	63	6002	7544	2191	1517	2314	2683
LOC111560780	101	68	114	225	48	55	17	4	9	101	45	12	6	77	85	2	8
SV2B	3	1	2	3	0	2	0	3	2	0	0	1	2	6	12	1	0
LOC111560781	23	56	18	3	22	68	0	0	1	165	82	1	0	238	335	0	0
LOC109500512	41	37	48	22	18	26	1	2	1	3	10	0	0	0	0	0	2
LOC109500513	0	0	1	0	4	1	0	0	0	5	17	0	0	33	38	0	0
SLCO3A1	0	0	2	1	2	1	0	0	0	19	7	1	3	27	46	0	0
LOC109500516	452	396	450	219	113	355	288	299	272	1	4	841	937	145	146	1698	2025
LOC109500515	45	18	27	21	11	16	9	1	4	3	0	6	9	83	95	15	12
LOC109500514	34	22	13	20	7	13	1	2	1	2	0	3	3	32	42	3	5
LOC111560782	23	14	18	15	12	12	3	1	1	1	1	1	2	18	16	6	3
LOC109500519	291	278	275	126	65	197	182	184	164	0	1	503	618	89	51	716	962
